	0	1	2	3	4	5	6	7
am0001	0	0	0	0	0	0	2	4
am0002	0	0	1	0	0	2	2	1
am0003	0	2	0	0	1	1	0	2
am0004	0	0	0	0	0	0	0	0
am0005	0	0	0	0	0	0	0	0
am0006	0	0	0	0	3	1	0	2
am0007	1	0	3	1	0	0	0	1
am0008	0	1	0	0	0	2	2	1
am0009	0	1	0	1	0	0	1	3
am0010	2	0	0	0	1	1	0	2
am0011	0	0	0	2	1	0	1	2
am0012	0	0	1	1	0	3	1	0
am0013	0	1	1	1	0	2	0	1
am0014	0	1	1	1	1	2	0	0
am0015	1	1	1	0	1	0	1	1
am0016	0	2	0	0	1	2	0	1
am0017	1	1	0	1	1	1	1	0
am0018	0	0	0	0	0	2	2	2
am0019	0	0	0	0	0	0	0	0
am0020	1	1	0	0	0	1	2	1
am0021	0	1	1	0	2	2	0	0
am0022	1	1	0	0	0	0	1	3
am0023	0	0	2	2	0	0	1	1
am0024	0	0	0	0	0	2	0	4
am0025	0	0	0	1	1	1	3	0
am0026	0	1	2	1	0	0	1	1
am0027	0	1	0	2	0	0	2	1
am0028	0	0	2	0	0	0	1	3
am0029	0	0	0	2	1	1	0	2
am0030	1	1	1	0	0	0	2	1
am0031	1	0	0	1	1	1	1	1
am0039	0	0	0	1	3	1	0	1
am0051	1	1	1	0	0	0	0	3
am0052	0	2	0	0	1	3	0	0
am0053	2	0	0	2	1	0	0	1
am0054	0	0	0	0	0	4	1	1
am0055	1	0	1	4	0	0	0	0
am0056	0	0	0	2	1	1	2	0
am0057	1	1	1	0	1	1	0	1
am0058	1	1	2	0	0	0	2	0
am0059	0	0	0	0	0	0	0	0
am0060	0	1	3	0	0	0	0	2
am0061	1	1	1	1	1	1	0	0
am0062	0	0	0	2	0	1	3	0
am0063	1	0	1	0	1	1	2	0
am0064	1	0	0	1	0	3	0	1
am0065	0	1	1	0	0	1	2	1
am0066	2	0	2	1	0	0	1	0
am0067	0	0	0	0	0	0	0	0
am0068	1	1	1	1	2	0	0	0
am0069	0	2	0	0	0	1	2	1
am0070	0	0	0	0	0	0	0	0
am0071	0	0	0	0	0	1	2	3
am0072	1	3	0	0	0	0	1	1
am0073	2	0	0	0	2	0	1	1
am0074	0	1	2	0	0	1	1	1
am0075	0	0	0	2	0	0	1	3
am0076	0	0	0	3	2	0	1	0
am0077	0	0	1	1	0	1	2	1
am0078	0	0	3	0	1	0	0	2
am0079	0	1	0	0	0	2	3	0
am0080	0	1	1	1	0	1	0	2
am0081	0	0	3	0	0	1	2	0
am0082	0	1	0	2	1	2	0	0
am0083	1	1	0	0	2	1	1	0
am0084	0	0	1	1	0	1	1	2
am0085	0	0	0	0	1	2	2	1
am0086	1	0	1	0	1	0	2	1
am0087	0	0	0	0	0	0	0	0
am0088	0	0	0	0	0	0	0	0
am0089	1	0	1	0	0	0	1	3
am0090	2	0	0	0	0	1	3	0
am0091	0	1	1	2	0	1	0	1
am0092	0	0	2	0	1	1	0	2
am0093	0	0	0	0	0	0	0	0
am0094	1	0	3	0	1	0	1	0
am0095	0	0	4	0	1	1	0	0
am0096	1	2	0	2	0	1	0	0
am0097	0	0	2	0	2	1	0	1
am0098	2	0	1	1	0	0	0	2
am0099	0	1	1	1	1	0	2	0
am0100	0	0	0	0	0	0	0	0
am0101	1	0	0	2	0	3	0	0
am0102	0	0	0	0	0	0	0	0
am0103	0	0	0	1	0	2	1	2
am0104	0	0	0	0	0	0	0	0
am0105	1	1	0	2	0	0	2	0
am0106	1	0	0	0	0	3	0	2
am0107	0	0	0	0	0	0	0	0
am0108	3	0	0	0	0	0	2	1
am0109	0	0	1	0	1	1	1	2
am0110	2	0	0	1	1	2	0	0
am0111	0	0	0	1	4	0	1	0
am0112	0	0	0	0	0	0	0	0
am0113	0	0	0	0	0	0	0	0
am0114	1	0	1	0	1	2	0	1
am0115	0	0	2	1	2	0	1	0
am0116	0	2	0	0	1	1	0	2
am0117	2	2	0	0	0	0	0	2
am0118	0	0	1	2	1	0	1	1
am0119	2	0	0	0	4	0	0	0
am0120	0	0	1	0	0	2	1	2
am0121	0	0	0	0	4	0	1	1
am0122	0	0	0	0	0	0	0	0
am0123	0	0	0	2	0	1	2	1
am0124	0	0	1	1	0	0	3	1
am0125	0	0	1	0	1	1	0	3
am0126	0	0	2	1	1	2	0	0
am0127	0	3	1	0	0	1	1	0
am0128	0	0	2	0	3	0	1	0
am0129	0	0	0	0	0	0	0	0
am0130	2	0	0	2	0	1	0	1
am0131	1	1	1	1	1	0	0	1
am0132	0	0	0	1	1	0	2	2
am0134	0	2	1	0	0	1	1	1
am0135	0	1	0	0	0	2	1	2
am0136	0	1	0	0	1	1	2	1
am0137	1	1	0	1	0	0	2	1
am0138	0	0	0	3	0	1	0	2
am0139	0	0	0	0	0	0	2	4
am0140	0	1	0	1	0	1	1	2
am0141	0	0	1	0	1	3	0	1
am0142	0	1	1	0	2	0	1	1
am0143	1	0	0	0	0	2	1	2
am0146	0	0	2	0	1	1	1	1
am0147	1	1	0	2	0	0	2	0
am0148	0	0	0	3	0	2	1	0
am0149	1	2	0	1	1	0	1	0
am0150	0	0	0	0	1	1	2	2
am0151	0	0	1	0	2	0	0	3
am0152	0	0	1	1	1	1	1	1
am0153	0	0	0	0	0	0	0	0
am0155	0	1	0	1	0	3	0	1
am0156	1	1	1	0	3	0	0	0
am0157	0	0	0	0	2	0	3	1
am0158	1	0	0	0	1	1	0	3
am0159	2	0	0	4	0	0	0	0
am0160	0	0	0	0	0	0	0	0
am0161	0	0	0	2	1	1	0	2
am0162	0	0	2	0	2	2	0	0
am0163	0	0	0	1	1	3	1	0
am0164	1	2	0	0	0	0	2	1
am0165	2	0	1	2	1	0	0	0
am0166	0	0	0	0	0	0	0	0
am0167	0	0	1	0	1	3	0	1
am0168	1	0	0	1	2	0	1	1
am0169	1	1	1	0	1	1	1	0
am0171	1	0	0	2	1	0	1	1
am0172	0	0	1	0	0	1	4	0
am0173	1	3	0	0	0	1	1	0
am0174	1	0	0	0	2	1	0	2
am0175	0	1	0	0	0	2	1	2
am0176	0	0	2	0	4	0	0	0
am0177	0	0	1	2	1	0	0	2
am0178	2	2	0	0	2	0	0	0
am0179	0	1	0	0	1	2	1	1
am0180	0	1	0	2	1	0	2	0
am0181	0	0	0	0	0	0	0	0
am0182	0	0	0	0	0	0	0	0
am0183	0	0	0	2	1	0	3	0
am0184	0	0	1	0	1	2	0	2
am0185	1	0	0	3	0	0	2	0
am0186	0	0	1	1	3	1	0	0
am0187	0	0	0	1	0	1	3	1
am0188	1	1	1	0	0	2	1	0
am0189	0	1	0	0	1	1	3	0
am0190	0	3	0	0	0	0	1	2
am0192	0	0	0	0	0	2	4	0
am0194	0	0	0	0	0	0	0	0
am0195	1	1	3	1	0	0	0	0
am0196	0	1	1	0	2	1	0	1
am0197	1	1	1	0	0	1	0	2
am0198	1	1	0	1	1	1	1	0
am0199	0	1	0	1	1	0	3	0
am0200	0	0	0	0	0	0	0	0
am0201	2	0	0	2	0	1	0	1
am0202	1	1	0	0	1	2	1	0
am0203	2	0	1	0	1	2	0	0
am0204	0	0	2	2	0	0	2	0
am0205	1	0	0	2	2	0	1	0
am0206	0	0	0	0	0	0	0	0
am0207	2	1	1	1	0	0	1	0
am0208	0	0	0	0	0	0	0	0
am0209	2	0	0	1	2	0	0	1
am0210	0	0	0	0	0	0	0	0
am0211	0	0	0	2	1	2	0	1
am0212	0	0	0	1	0	3	0	2
am0213	1	0	0	1	0	0	4	0
am0214	0	0	1	2	2	0	1	0
am0215	0	2	1	1	1	1	0	0
am0216	0	0	0	0	0	0	5	1
am0217	0	1	1	0	2	1	0	1
am0218	0	1	1	0	0	1	2	1
am0219	0	1	1	1	1	0	1	1
am0220	0	0	1	2	1	0	1	1
am0221	0	0	0	1	1	0	2	2
am0222	0	0	0	0	0	0	0	0
am0223	0	1	0	0	2	1	1	1
am0224	0	0	4	0	1	0	0	1
am0225	0	0	0	2	0	1	2	1
am0226	0	0	3	0	3	0	0	0
am0227	0	0	1	0	2	1	0	2
am0228	1	0	0	2	0	0	2	1
am0229	0	0	1	3	0	1	0	1
am0230	0	0	0	0	3	2	0	1
am0231	0	0	1	0	1	1	1	2
