	0	1	2	3	4	5	6	7
am0001	0	0	0	1	3	0	2	2
am0002	0	2	3	0	2	1	0	0
am0003	1	1	1	1	0	1	2	1
am0004	0	0	0	0	0	0	0	0
am0005	0	0	0	0	0	0	0	0
am0006	1	0	0	1	2	1	1	2
am0007	2	0	0	1	0	1	0	4
am0008	0	1	0	1	1	3	2	0
am0009	2	0	3	0	0	1	2	0
am0010	1	3	1	1	0	0	2	0
am0011	1	0	2	1	2	1	0	1
am0012	0	0	1	0	1	3	1	2
am0013	1	1	1	0	1	2	2	0
am0014	0	0	0	1	1	3	1	2
am0015	0	0	1	0	0	2	3	2
am0016	2	1	0	1	1	1	1	1
am0017	1	0	1	0	1	1	1	3
am0018	0	0	0	0	0	1	2	5
am0019	0	0	0	0	0	0	0	0
am0020	2	1	0	1	2	2	0	0
am0021	0	2	1	2	1	0	1	1
am0022	1	2	1	0	1	1	0	2
am0023	0	1	2	0	4	0	1	0
am0024	0	0	0	1	0	4	2	1
am0025	1	0	3	1	0	2	1	0
am0026	0	0	3	1	0	3	0	1
am0027	0	2	1	1	3	0	1	0
am0028	0	0	0	2	2	2	1	1
am0029	0	1	3	2	2	0	0	0
am0030	2	0	1	0	0	3	0	2
am0031	2	1	2	0	1	1	0	1
am0039	0	1	1	0	3	1	2	0
am0051	3	0	1	1	0	1	1	1
am0052	0	0	0	2	0	2	1	3
am0053	0	1	2	0	0	0	1	4
am0054	0	0	1	0	1	4	0	2
am0055	0	2	2	0	2	2	0	0
am0056	0	0	3	2	0	1	0	2
am0057	3	0	0	0	0	1	3	1
am0058	0	3	1	2	1	0	0	1
am0059	0	0	0	0	0	0	0	0
am0060	3	0	0	1	1	1	2	0
am0061	1	1	0	1	3	1	0	1
am0062	0	1	0	0	1	1	0	5
am0063	1	0	3	1	0	1	1	1
am0064	0	1	1	1	3	0	1	1
am0065	2	0	1	1	0	1	1	2
am0066	2	0	2	1	0	1	1	1
am0067	0	0	0	0	0	0	0	0
am0068	3	0	0	2	2	1	0	0
am0069	1	1	0	3	2	0	1	0
am0070	0	0	0	0	0	0	0	0
am0071	0	0	0	0	0	0	0	0
am0072	1	0	2	1	1	0	0	3
am0073	1	3	1	1	0	0	0	2
am0074	1	1	0	3	0	1	1	1
am0075	0	0	2	2	0	3	0	1
am0076	0	0	2	0	0	1	1	4
am0077	0	4	0	0	2	0	1	1
am0078	0	0	0	4	3	1	0	0
am0079	0	0	3	0	1	1	0	3
am0080	0	1	0	0	0	2	1	4
am0081	0	1	1	2	2	0	0	2
am0082	1	1	3	2	1	0	0	0
am0083	1	2	0	0	0	1	2	2
am0084	2	0	0	1	0	1	3	1
am0085	0	0	0	0	4	0	1	3
am0086	0	0	1	1	2	0	2	2
am0087	0	0	0	0	0	0	0	0
am0088	0	0	0	0	0	0	0	0
am0089	0	0	0	2	1	1	1	3
am0090	0	0	3	2	0	0	1	2
am0091	0	0	2	1	0	1	3	1
am0092	0	0	0	0	5	2	0	1
am0093	0	0	0	0	0	0	0	0
am0094	0	0	1	3	1	0	1	2
am0095	0	0	0	1	5	1	1	0
am0096	1	1	1	0	0	2	0	3
am0097	0	0	0	1	5	2	0	0
am0098	1	2	1	0	1	0	1	2
am0099	1	0	1	1	2	0	1	2
am0100	0	0	0	0	0	0	0	0
am0101	0	0	0	0	0	0	0	0
am0102	0	0	0	0	0	0	0	0
am0103	0	1	0	0	1	3	3	0
am0104	0	0	0	0	0	0	0	0
am0105	1	2	3	0	0	2	0	0
am0106	0	1	0	0	1	1	4	1
am0107	0	0	0	0	0	0	0	0
am0108	0	2	0	1	0	2	2	1
am0109	0	0	0	1	1	2	2	2
am0110	0	1	3	1	0	1	2	0
am0111	0	0	0	2	0	4	1	1
am0112	0	0	0	0	0	0	0	0
am0113	0	0	0	0	0	0	0	0
am0114	0	1	0	1	2	0	3	1
am0115	0	0	0	0	2	1	3	2
am0116	0	0	0	2	3	2	0	1
am0117	1	0	1	1	1	2	0	2
am0118	2	0	1	3	0	0	1	1
am0119	0	0	0	0	0	2	3	3
am0120	0	2	1	0	0	0	3	2
am0121	0	0	0	0	2	1	0	5
am0122	0	0	0	0	0	0	0	0
am0123	0	0	0	0	0	0	0	0
am0124	0	0	2	0	1	1	0	4
am0125	0	1	0	0	0	3	3	1
am0126	0	1	2	1	3	0	1	0
am0127	3	0	0	2	1	1	1	0
am0128	0	0	2	1	3	0	2	0
am0129	0	0	0	0	0	0	0	0
am0130	1	0	2	0	0	1	2	2
am0131	0	3	2	0	0	2	0	1
am0132	0	0	1	1	2	1	1	2
am0134	0	0	0	2	2	0	2	2
am0135	0	1	1	1	0	0	2	3
am0136	0	0	0	0	0	0	0	0
am0137	0	0	1	0	0	1	2	4
am0138	1	0	0	0	0	3	0	4
am0139	0	1	0	0	0	2	0	5
am0140	0	2	0	0	0	1	4	1
am0141	0	0	0	0	1	5	2	0
am0142	0	1	3	1	1	0	2	0
am0143	0	1	0	1	0	1	4	1
am0146	0	0	0	0	0	0	0	0
am0147	0	2	2	0	1	0	1	2
am0148	0	0	4	0	0	0	0	4
am0149	1	2	2	2	1	0	0	0
am0150	1	1	1	0	1	2	0	2
am0151	0	0	0	0	0	0	0	0
am0152	0	0	2	1	2	3	0	0
am0153	0	0	0	0	0	0	0	0
am0155	0	0	0	1	1	2	4	0
am0156	0	0	1	1	2	0	3	1
am0157	0	1	1	2	1	1	1	1
am0158	0	1	1	1	1	1	1	2
am0159	0	0	0	0	0	0	0	0
am0160	0	0	0	0	0	0	0	0
am0161	0	0	0	1	4	0	1	2
am0162	0	0	0	3	2	3	0	0
am0163	0	2	0	3	2	0	1	0
am0164	1	2	3	0	1	0	1	0
am0165	0	0	2	3	1	1	0	1
am0166	0	0	0	0	0	0	0	0
am0167	0	0	0	1	1	1	5	0
am0168	0	2	1	1	2	2	0	0
am0169	0	0	0	1	1	2	3	1
am0171	0	2	0	1	3	0	1	1
am0172	0	0	1	3	0	0	2	2
am0173	1	0	0	0	0	4	1	2
am0174	0	0	0	2	1	2	2	1
am0175	3	1	0	1	1	0	1	1
am0176	0	0	0	0	0	0	0	0
am0177	0	0	2	1	1	1	3	0
am0178	3	1	1	0	0	1	2	0
am0179	1	1	0	1	0	3	1	1
am0180	2	2	1	2	1	0	0	0
am0181	0	0	0	0	0	0	0	0
am0182	0	0	0	0	0	0	0	0
am0183	0	0	3	0	0	0	1	4
am0184	0	2	0	2	1	1	2	0
am0185	0	2	2	0	0	0	3	1
am0186	0	1	2	3	1	0	0	1
am0187	1	2	1	0	0	1	0	3
am0188	1	2	1	1	0	2	0	1
am0189	1	1	0	1	1	1	2	1
am0190	2	0	0	0	4	1	1	0
am0192	0	3	1	0	1	1	1	1
am0194	0	0	0	0	0	0	0	0
am0195	0	2	4	0	0	0	1	1
am0196	1	0	0	2	2	2	1	0
am0197	0	0	2	0	2	2	0	2
am0198	0	1	1	0	0	2	2	2
am0199	0	0	0	0	0	0	0	0
am0200	0	0	0	0	0	0	0	0
am0201	0	0	3	1	0	2	0	2
am0202	1	1	0	1	3	1	1	0
am0203	0	0	1	0	1	3	1	2
am0204	1	0	0	3	1	0	2	1
am0205	1	2	0	1	2	0	2	0
am0206	0	0	0	0	0	0	0	0
am0207	3	0	0	2	0	1	2	0
am0208	0	0	0	0	0	0	0	0
am0209	2	1	1	0	1	2	1	0
am0210	0	0	0	0	0	0	0	0
am0211	2	1	0	0	1	2	1	1
am0212	0	0	0	2	1	1	4	0
am0213	0	0	0	0	0	0	0	0
am0214	1	0	1	2	2	0	0	2
am0215	0	0	2	1	0	1	1	3
am0216	1	1	2	1	0	1	0	2
