	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y
0	0.4614747307373654	1.0	13.006633499170817	148	0	SP44
1	0.115990057995029	1.0	68.00663349917082	207	1	SP33
2	0.7406793703396851	1.0	-34.99336650082918	97	2	SP45
3	0.31174248451362635	1.0	6.5066334991708175	130	3	SP43
4	0.5877428576131507	1.0	8.506633499170817	102	4	SP21
5	0.5958042763789594	1.0	-24.993366500829183	6	5	SP37
6	0.8878026632721926	1.0	-26.493366500829183	54	6	SP18
7	0.968431939513983	1.0	-95.99336650082918	18	7	SP39
8	0.008139748018405717	1.0	57.33996683250416	195	8	SP35
9	0.7365469227859751	1.0	-28.660033167495854	86	9	SP34
10	0.8482709245503967	1.0	-34.32669983416251	54	10	SP20
11	0.8419131780905841	1.0	-33.32669983416251	67	11	SP40
12	0.25570335189568366	1.0	7.339966832504146	123	12	SP1
13	0.9331328973997683	1.0	-28.993366500829183	18	13	SP27
14	0.7928144650159568	1.0	-22.243366500829183	69	14	SP28
15	0.4130149433856389	1.0	-0.9933665008291825	99	15	SP32
16	0.16200987124453206	1.0	-4.4933665008291825	113	16	SP5
17	0.19434904453400215	1.0	1.6733001658374889	54	17	SP19
18	0.5847927230980504	1.0	6.673300165837489	86	18	SP7
19	0.7493495465106961	1.0	-47.99336650082918	68	19	SP31
20	0.12333840812227385	1.0	27.33996683250416	102	20	SP25
21	0.5847927230980504	1.0	1.839966832504146	86	21	SP3
22	0.6474837347913582	1.0	-10.850509357972044	18	22	SP29
23	0.23782573566816656	1.0	18.86377635631368	23	23	SP17
24	0.43413796732894605	1.0	-13.279080786543474	92	24	SP16
25	0.9460771504970625	1.0	-35.1044776119403	21	25	SP22
26	0.9532343323203565	1.0	-34.193366500829185	6	26	SP30
27	0.7712430731081034	1.0	-15.193366500829185	60	27	SP36
28	0.45567053829497745	1.0	-9.902457409920089	18	28	SP14
29	0.0005755757329409555	0.0	29.083556576093883	21	29	SP24
30	0.2873944611169179	1.0	5.539966832504149	23	30	SP23
31	0.774611868502617	1.0	-11.180866500829183	56	31	SP10
32	0.027192172908175494	1.0	16.5360452638767	6	32	SP46
33	0.538498825860516	1.0	0.6733001658374889	23	33	SP15
34	0.9290341712328427	1.0	-28.593366500829177	6	34	SP2
35	0.1916772729935412	1.0	5.966633499170811	6	35	SP13
36	0.5342716255101294	1.0	-1.808181315643992	60	36	SP9
37	0.34195216264190736	1.0	-5.9933665008291825	8	37	SP6
38	0.6559334529012754	1.0	-14.799818113732414	6	38	SP0
39	0.37648754705584986	1.0	2.6003834991708175	21	39	SP12
40	0.001513246857919646	0.0	20.441416107866473	21	40	SP8
41	0.0018439390814642988	0.0	17.945095037632342	56	41	SP4
42	0.11717931424603517	1.0	6.395522388059703	8	42	SP11
