	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y
0	0.01581856298837431	1.0	107.35970263057568	225	0	SP41
1	0.7739660758528683	1.0	-44.64029736942432	66	1	SP11
2	0.07661520869068039	1.0	87.35970263057568	205	2	SP12
3	0.10120068610634649	1.0	74.35970263057568	190	3	SP14
4	0.9662664379645511	1.0	-84.64029736942432	8	4	SP61
5	0.023060796645702306	1.0	103.35970263057568	221	5	SP57
6	0.14503525824280541	1.0	59.35970263057568	175	6	SP81
7	0.9734136695998178	1.0	-78.14029736942432	7	7	SP80
8	0.0029808700209643605	0.0	101.35970263057568	210	8	SP70
9	0.4420948149232779	1.0	14.859702630575683	66	9	SP62
10	0.008524760955156722	1.0	86.85970263057568	198	10	SP60
11	0.07672292122792583	1.0	54.35970263057568	148	11	SP53
12	0.0029808700209643605	0.0	97.85970263057568	210	12	SP48
13	0.34659221645818516	1.0	32.35970263057568	102	13	SP34
14	0.004667373807099992	0.0	98.35970263057568	207	14	SP0
15	0.14235997874303002	1.0	38.02636929724234	72	15	SP78
16	0.0917241281774619	1.0	25.69303596390901	9	16	SP82
17	0.5171124075742229	1.0	10.026369297242354	66	17	SP44
18	0.29894231115263686	1.0	24.359702630575683	76	18	SP79
19	0.050903424302596846	1.0	48.10970263057568	63	19	SP58
20	0.00010595802451304129	0.0	92.35970263057568	190	20	SP2
21	6.489872649885011e-05	0.0	87.1597026305757	175	21	SP73
22	0.0011890529604982156	0.0	55.85970263057568	63	22	SP66
23	1.3820641146522396e-06	0.0	88.50255977343282	175	23	SP54
24	0.34070545809796654	1.0	8.893035963909014	6	24	SP71
25	0.9961777619163338	1.0	-18.765297369424317	2	25	SP49
26	0.5648258787050492	1.0	-11.577797369424317	26	26	SP25
27	0.8920377265368209	1.0	-7.052062075306665	5	27	SP21
28	0.4589461261489569	1.0	-5.806964036090989	1	28	SP56
29	0.2633472595681724	1.0	-11.482402632582208	2	29	SP20
30	0.6276886784280625	1.0	1.149176314786203	6	30	SP39
31	0.8842578288301877	1.0	-15.482402632582208	2	31	SP69
32	0.033627084144156945	1.0	30.559702630575686	6	32	SP6
33	0.0647726614419976	1.0	26.109702630575683	20	33	SP37
34	0.12545521115791305	1.0	6.959702630575677	7	34	SP38
35	0.18356271446876254	1.0	18.835893106766164	17	35	SP64
36	0.4151171296698095	1.0	6.931131202004252	4	36	SP35
37	0.43463347008815406	1.0	3.026369297242354	3	37	SP19
38	0.010305723365391166	1.0	28.407321678194734	11	38	SP10
39	0.16874062176796606	1.0	13.216845487718544	27	39	SP4
40	0.10331434620004898	1.0	16.359702630575683	14	40	SP16
41	0.12042683015296711	1.0	15.677884448757496	1	41	SP65
42	0.03311075308211775	1.0	18.26879353966659	68	42	SP17
43	0.8456319723287907	1.0	-3.6402973694243173	13	43	SP50
44	0.17553899678708268	1.0	12.533615674053948	7	44	SP59
45	0.3521189959031238	1.0	-2.335949543337364	8	45	SP22
46	0.9041785241999316	1.0	-10.335949543337364	4	46	SP83
47	0.23901851895623138	1.0	6.839702630575687	18	47	SP52
48	0.05178002133386628	1.0	18.15970263057568	11	48	SP3
49	0.4336146938157957	1.0	-2.447989677116624	8	49	SP68
50	0.4191528166056378	1.0	7.090471861344909	3	50	SP63
51	0.39799281457233954	1.0	5.3954169162899746	17	51	SP36
52	0.07282155363883601	1.0	17.07398834486139	2	52	SP8
53	0.3849651676360106	1.0	8.359702630575683	8	53	SP31
54	0.4729409714481646	1.0	-0.6402973694243173	5	54	SP18
55	0.050525034922708136	1.0	11.779057469285362	4	55	SP46
56	0.0025180347751053837	0.0	19.488734888640195	6	56	SP30
57	0.2343348538172961	1.0	0.7467994047692343	2	57	SP33
58	0.46570971901716246	1.0	2.3597026305756827	16	58	SP67
59	0.7358411915905378	1.0	-9.359047369424317	1	59	SP1
60	0.022266863005693076	1.0	14.177884448757496	7	60	SP51
61	0.3844788124112185	1.0	6.859702630575683	2	61	SP13
62	0.6639199743534996	1.0	-2.4180751472020887	12	62	SP27
63	0.14519949636789295	1.0	2.278621549494602	1	63	SP23
64	0.0067149060039291015	1.0	26.40848311838056	4	64	SP47
65	0.9554435086112352	1.0	-10.473630702757646	3	65	SP15
66	0.11819916627517268	1.0	2.987609607319868	3	66	SP29
67	0.564034546397511	1.0	-2.0316017172504104	5	67	SP42
68	0.1663495327178265	1.0	5.955447311426752	12	68	SP45
69	0.1232444623820853	1.0	9.210766460362919	12	69	SP9
70	0.21705041542592882	1.0	13.163624199203127	8	70	SP24
71	0.6733297789922783	1.0	-14.174780128045	1	71	SP26
72	0.14198736610490303	1.0	10.514875044368793	11	72	SP74
