	0	1	2	3	4	5	6	7
am0001	0	1	0	2	0	1	1	4
am0002	0	1	0	0	3	1	3	1
am0003	0	3	2	1	0	0	1	2
am0004	0	0	0	0	0	0	0	0
am0005	0	0	0	0	0	0	0	0
am0006	1	3	0	0	1	2	1	1
am0007	1	0	2	2	1	1	2	0
am0008	1	0	0	4	0	1	1	2
am0009	1	2	0	0	1	1	3	1
am0010	1	2	0	1	1	2	0	2
am0011	0	1	1	2	3	0	0	2
am0012	0	0	1	0	2	2	3	1
am0013	1	0	1	1	2	4	0	0
am0014	1	0	1	0	1	1	2	3
am0015	0	0	1	1	2	2	1	2
am0016	0	0	1	2	1	1	2	2
am0017	0	0	0	0	1	2	2	4
am0018	0	2	0	0	0	3	3	1
am0019	0	0	0	0	0	0	0	0
am0020	0	0	0	0	2	4	1	2
am0021	4	0	1	1	1	1	1	0
am0022	1	0	1	2	1	2	0	2
am0023	0	0	1	0	1	3	2	2
am0024	0	0	0	0	0	2	0	7
am0025	0	2	3	0	1	0	1	2
am0026	0	1	1	0	2	4	1	0
am0027	2	0	0	0	2	1	2	2
am0028	1	0	2	0	1	1	1	3
am0029	3	0	3	0	0	1	1	1
am0030	0	4	0	0	2	1	0	2
am0031	1	1	0	2	1	1	0	3
am0039	1	0	0	0	5	2	0	1
am0051	1	1	2	0	1	1	3	0
am0052	0	0	1	0	1	4	1	2
am0053	0	1	2	2	1	1	2	0
am0054	2	0	1	2	0	2	0	2
am0055	0	0	3	1	2	0	2	1
am0056	0	1	2	1	0	1	3	1
am0057	1	1	5	0	0	0	1	1
am0058	0	3	4	0	0	0	2	0
am0059	0	0	0	0	0	0	0	0
am0060	0	1	0	4	1	2	0	1
am0061	0	2	3	0	2	1	1	0
am0062	0	0	0	0	0	0	0	0
am0063	0	0	0	2	0	4	3	0
am0064	0	4	0	1	0	3	1	0
am0065	0	0	2	1	0	1	2	3
am0066	0	2	2	1	3	1	0	0
am0067	0	0	0	0	0	0	0	0
am0068	1	2	1	2	1	0	0	2
am0069	0	0	0	2	2	0	5	0
am0070	0	0	0	0	0	0	0	0
am0071	0	0	0	0	0	0	0	0
am0072	0	0	0	5	0	0	3	1
am0073	2	4	0	2	0	0	1	0
am0074	0	0	0	0	0	0	0	0
am0075	1	1	1	1	1	0	2	2
am0076	1	0	3	0	0	2	3	0
am0077	2	1	2	0	2	2	0	0
am0078	0	3	0	3	2	1	0	0
am0079	1	1	0	1	0	0	2	4
am0080	0	3	0	2	0	1	1	2
am0081	0	1	4	1	1	1	0	1
am0082	0	0	2	0	1	2	0	4
am0083	2	0	1	0	3	2	0	1
am0084	0	1	0	2	0	2	1	3
am0085	0	0	0	0	0	0	0	0
am0086	1	0	2	0	0	2	1	3
am0087	0	0	0	0	0	0	0	0
am0088	0	0	0	0	0	0	0	0
am0089	1	2	2	1	0	0	1	2
am0090	1	0	1	2	0	1	2	2
am0091	0	3	2	1	0	1	2	0
am0092	2	0	0	0	3	2	2	0
am0093	0	0	0	0	0	0	0	0
am0094	1	0	0	3	2	0	3	0
am0095	0	0	0	4	4	0	0	1
am0096	3	0	1	2	0	1	2	0
am0097	0	0	0	4	1	0	2	2
am0098	1	1	0	0	4	1	1	1
am0099	1	2	0	1	2	0	3	0
am0100	0	0	0	0	0	0	0	0
am0101	0	0	0	0	0	0	0	0
am0102	0	0	0	0	0	0	0	0
am0103	0	1	1	0	0	1	2	4
am0104	0	0	0	0	0	0	0	0
am0105	2	1	1	0	0	1	2	2
am0106	1	0	0	0	1	2	2	3
am0107	0	0	0	0	0	0	0	0
am0108	2	0	3	2	0	0	1	1
am0109	0	0	0	0	1	3	1	4
am0110	0	0	2	1	1	0	2	3
am0111	0	1	0	2	2	2	1	1
am0112	0	0	0	0	0	0	0	0
am0113	0	0	0	0	0	0	0	0
am0114	0	1	0	2	0	2	0	4
am0115	0	0	1	2	0	2	0	4
am0116	1	0	1	2	4	0	0	1
am0117	0	0	1	1	0	2	2	3
am0118	0	1	1	3	3	0	1	0
am0119	0	0	3	0	2	1	1	2
am0120	1	1	0	4	0	1	1	1
am0121	0	0	0	0	0	0	0	0
am0122	0	0	0	0	0	0	0	0
am0123	0	0	0	0	0	0	0	0
am0124	0	0	2	3	2	0	1	1
am0125	1	1	0	2	1	2	0	2
am0126	0	0	0	1	0	6	0	2
am0127	1	1	0	4	0	1	2	0
am0128	0	0	1	3	3	0	2	0
am0129	0	0	0	0	0	0	0	0
am0130	0	1	1	1	0	0	2	4
am0131	3	0	2	1	2	1	0	0
am0132	0	0	1	1	3	1	1	2
am0134	0	2	0	2	1	1	1	2
am0135	1	2	1	0	2	1	1	1
am0136	0	0	0	0	0	0	0	0
am0137	3	0	3	0	0	0	2	1
am0138	0	0	0	0	3	1	2	3
am0139	1	1	1	0	2	1	1	2
am0140	3	1	1	0	0	1	0	3
am0141	0	0	0	0	3	1	1	4
am0142	0	1	2	5	1	0	0	0
am0143	0	1	0	0	0	2	4	2
am0146	0	0	0	0	0	0	0	0
am0147	1	2	4	0	0	2	0	0
am0148	0	0	3	0	0	0	6	0
am0149	1	0	3	0	1	1	2	1
am0150	0	1	2	0	2	0	1	3
am0151	0	0	0	0	0	0	0	0
am0152	0	0	2	0	3	0	1	3
am0153	0	0	0	0	0	0	0	0
am0155	0	1	1	0	2	2	2	1
am0156	1	0	2	1	2	0	1	2
am0157	1	0	0	3	3	0	2	0
am0158	1	3	0	0	4	0	1	0
am0159	0	0	0	0	0	0	0	0
am0160	0	0	0	0	0	0	0	0
am0161	1	0	0	1	6	0	1	0
am0162	0	0	0	1	3	0	0	5
am0163	0	1	2	0	1	3	0	2
am0164	1	0	1	2	1	0	4	0
am0165	3	0	0	0	2	2	1	1
am0166	0	0	0	0	0	0	0	0
am0167	0	1	0	1	1	5	0	1
am0168	3	0	2	3	1	0	0	0
am0169	0	1	0	0	0	3	2	3
am0171	2	1	1	2	1	2	0	0
am0172	2	0	0	1	0	0	4	2
am0173	1	3	1	0	0	2	0	2
am0174	0	1	0	1	2	2	1	2
am0175	2	4	0	0	0	3	0	0
am0176	0	0	0	0	0	0	0	0
am0177	0	1	1	0	2	1	0	4
am0178	1	1	0	0	1	2	2	2
am0179	0	0	0	0	2	6	0	1
am0180	1	1	0	1	1	0	5	0
am0181	0	0	0	0	0	0	0	0
am0182	0	0	0	0	0	0	0	0
