	0	1	2	3	4	5	6	7	8	9	10
am0142	0	0	0	0	0	0	0	0	0	0	0
am0143	0	0	1	1	2	1	2	0	4	3	6
am0146	0	2	1	1	0	1	1	5	3	1	5
am0147	0	0	0	2	0	5	3	1	3	0	6
am0148	0	1	1	1	3	0	1	0	2	5	6
am0149	0	2	0	2	0	2	0	0	0	4	10
am0150	0	0	0	0	0	0	0	0	0	0	0
am0151	0	0	0	2	0	3	0	1	3	2	9
am0152	0	5	0	0	0	0	0	0	0	5	10
am0153	0	0	0	0	0	0	0	0	0	0	0
am0155	0	0	0	0	0	0	0	0	0	0	0
am0156	0	0	0	0	0	0	0	0	0	0	0
am0157	0	1	0	3	4	4	1	1	0	0	6
am0158	0	0	0	0	0	0	0	0	0	0	0
am0159	0	0	0	0	0	0	0	0	0	0	0
am0160	0	0	1	0	3	0	0	0	1	8	7
am0161	0	0	1	3	0	2	0	1	2	3	8
am0162	0	0	0	1	0	2	2	2	2	4	7
am0163	0	1	1	0	1	0	1	0	2	3	11
am0164	0	0	0	0	0	0	0	0	0	0	0
am0165	0	0	0	0	0	0	0	0	0	0	0
am0166	0	0	0	0	0	0	0	0	0	0	0
am0167	0	0	0	0	0	0	0	0	0	0	0
am0168	0	0	0	0	0	0	0	0	0	0	0
am0169	0	0	0	0	3	0	0	6	6	2	3
am0171	0	3	0	3	1	1	0	3	1	2	6
am0172	0	0	1	1	5	0	5	0	3	1	4
am0173	0	0	1	1	0	3	0	1	2	1	11
am0174	0	0	4	1	1	0	0	0	0	3	11
am0175	0	0	0	0	0	0	0	0	0	0	0
am0176	0	0	0	0	0	0	0	0	0	0	0
am0177	0	0	0	2	0	0	1	0	1	10	6
am0178	0	0	2	0	0	2	1	8	6	1	0
am0179	0	0	0	1	1	1	1	3	2	5	6
am0180	0	2	0	0	0	1	2	0	5	3	7
am0181	0	1	1	3	2	1	1	1	3	0	7
am0182	0	2	0	0	1	2	2	6	2	2	3
am0183	0	0	0	2	4	1	5	3	1	3	1
am0184	0	2	0	0	0	0	2	5	2	3	6
am0185	0	2	1	0	1	1	0	2	2	6	5
am0186	0	0	1	2	4	1	0	0	2	4	6
am0187	0	0	0	2	1	3	1	1	0	3	9
am0188	0	1	1	1	2	1	3	2	4	1	4
am0189	0	1	1	0	1	0	1	1	6	1	8
am0190	0	0	2	0	1	4	5	6	0	0	2
am0192	0	0	0	0	0	0	0	0	0	0	0
am0194	0	0	0	1	0	2	0	3	5	2	7
am0195	0	1	0	2	2	3	2	3	2	0	5
am0196	0	2	3	0	1	1	1	1	1	4	6
am0197	0	0	0	0	0	0	0	0	0	0	0
am0198	0	2	2	1	2	0	1	1	2	2	7
am0199	0	0	5	0	2	1	0	2	1	2	7
am0200	0	0	3	1	0	2	3	4	5	2	0
am0201	0	2	0	0	1	2	3	0	0	2	10
am0202	0	0	1	4	1	6	0	0	6	2	0
am0203	0	0	0	0	0	0	0	0	0	0	0
am0204	0	0	2	1	0	1	3	1	3	2	7
am0205	0	2	0	0	0	2	2	1	1	5	7
am0206	0	1	0	0	0	5	3	2	2	3	4
am0207	0	0	0	3	1	1	1	3	0	2	9
am0208	0	0	2	1	0	5	0	2	3	3	4
am0209	0	0	0	2	0	2	1	2	5	1	7
am0210	0	2	3	0	4	1	5	0	2	0	3
am0211	0	0	0	0	0	0	0	0	0	0	0
am0212	0	0	0	0	0	2	0	3	1	8	6
am0213	0	0	0	0	0	0	0	0	0	0	0
am0214	0	0	2	2	1	0	1	0	1	1	12
am0215	0	0	0	0	0	0	0	0	0	0	0
am0216	0	0	0	0	0	0	0	0	0	0	0
am0217	0	0	0	0	0	0	0	0	0	0	0
am0218	0	0	0	0	0	0	0	0	0	0	0
am0219	0	0	0	0	0	0	0	0	0	0	0
am0220	0	0	0	0	0	0	0	0	0	0	0
am0221	0	2	1	1	4	1	2	0	4	1	4
am0222	0	0	0	0	0	0	0	0	0	0	0
am0223	0	0	0	0	0	0	0	0	0	0	0
am0224	0	0	0	0	0	0	0	0	0	0	0
am0225	0	0	0	1	0	1	1	3	6	2	6
am0226	0	0	0	5	0	2	6	1	0	3	3
am0227	0	0	0	0	0	0	0	0	0	0	0
am0228	0	0	0	0	0	0	0	0	0	0	0
am0229	0	0	0	0	0	0	0	0	0	0	0
am0230	0	3	2	0	2	1	0	1	3	1	7
am0231	0	1	1	2	2	0	2	3	1	4	4
