	0	1	2	3	4	5	6	7	8	9
am0155	0	3	3	0	0	0	0	2	0	0
am0156	0	2	0	0	0	4	0	0	0	2
am0157	0	2	0	0	1	4	1	0	0	0
am0158	0	0	0	0	1	0	1	5	0	1
am0159	0	0	0	0	0	0	2	2	1	3
am0160	0	0	0	2	0	0	1	0	1	4
am0161	0	1	1	0	0	0	1	2	1	2
am0162	0	0	0	0	1	1	0	1	3	2
am0163	0	0	2	0	0	0	0	0	2	4
am0164	0	0	1	0	0	0	0	0	5	2
am0165	0	0	0	0	0	0	0	0	0	0
am0166	2	0	0	1	1	0	0	0	1	3
am0167	1	0	0	1	0	0	0	0	2	4
am0168	0	0	0	0	1	2	3	2	0	0
am0169	0	0	0	2	0	0	0	2	1	3
am0171	0	0	0	0	1	1	0	2	2	2
am0172	0	0	1	1	1	0	1	2	1	1
am0173	0	0	0	0	0	1	0	2	1	4
am0174	0	2	1	1	0	0	0	0	1	3
am0175	0	0	2	0	0	0	3	0	1	2
am0176	0	0	2	0	0	0	0	1	2	3
am0177	0	0	0	0	0	0	0	0	6	2
am0178	0	0	0	0	0	2	1	5	0	0
am0179	0	0	0	0	0	2	0	1	3	2
am0180	0	0	0	1	0	0	0	3	1	3
am0181	0	1	0	1	1	0	2	0	0	3
am0182	0	0	1	0	1	1	1	1	1	2
am0183	1	0	1	0	2	1	1	1	1	0
am0184	1	0	0	0	0	1	2	2	1	1
am0185	1	0	0	0	2	2	0	2	0	1
am0186	1	0	0	1	0	2	0	0	4	0
am0187	0	0	1	1	0	2	0	1	0	3
am0188	2	1	0	0	1	0	0	2	0	2
am0189	3	0	1	0	0	2	0	1	0	1
am0190	0	1	5	0	1	1	0	0	0	0
am0192	1	0	0	0	0	2	0	0	1	4
am0194	0	0	0	0	2	0	1	0	0	5
am0195	1	3	0	1	1	0	0	0	0	2
am0196	1	1	0	1	0	0	0	1	4	0
am0197	2	0	0	0	3	2	1	0	0	0
am0198	0	1	0	0	3	0	1	1	1	1
am0199	0	0	1	2	0	2	0	0	0	3
am0200	0	2	0	0	4	0	0	2	0	0
am0201	1	0	1	0	0	0	1	0	1	4
am0202	0	2	0	2	0	1	2	0	1	0
am0203	0	0	0	2	0	0	0	4	1	1
am0204	0	0	0	0	1	2	2	0	0	3
am0205	2	0	0	0	1	0	0	1	1	3
am0206	0	0	0	0	0	2	0	1	1	4
am0207	0	0	0	0	0	1	0	2	3	2
am0208	0	2	0	2	0	2	1	1	0	0
am0209	0	1	0	0	1	1	3	0	0	2
am0210	1	0	3	1	0	0	0	1	0	2
am0211	0	0	0	0	0	0	1	0	6	1
am0212	0	0	0	0	2	0	1	0	2	3
am0213	0	0	0	2	0	0	0	0	2	4
am0214	0	1	2	0	0	1	0	1	1	2
am0215	1	0	0	1	0	2	3	0	0	1
am0216	0	0	0	1	1	0	0	2	3	1
am0217	0	0	0	0	3	0	0	0	0	5
am0218	0	0	2	0	0	0	1	4	1	0
am0219	0	1	0	0	1	4	0	0	0	2
am0220	0	0	1	1	0	2	2	2	0	0
am0221	0	0	0	0	0	0	3	3	0	2
am0222	1	0	0	0	3	0	0	0	0	4
am0223	0	1	0	0	1	2	2	2	0	0
am0224	4	0	0	2	2	0	0	0	0	0
am0225	0	1	0	0	1	0	1	3	2	0
am0226	0	2	0	0	0	2	2	1	0	1
am0227	0	0	0	0	0	1	6	0	1	0
am0228	0	1	0	0	1	0	1	2	2	1
am0229	0	0	0	0	0	0	0	0	0	0
am0230	0	0	0	2	1	0	2	2	1	0
am0231	0	1	1	0	2	0	0	0	0	4
