	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y
0	0.5309168443496801	1.0	1.3461538461538396	108	0	SP41
1	0.19402985074626866	1.0	31.34615384615384	139	1	SP36
2	0.578777843306265	1.0	-25.65384615384616	81	2	SP38
3	0.3890577507598784	1.0	-8.65384615384616	98	3	SP33
4	8.899802383933429e-05	0.0	85.34615384615384	199	4	SP19
5	0.16366448925776397	1.0	11.746153846153845	95	5	SP42
6	0.6150412357458512	1.0	-38.65384615384616	8	6	SP15
7	0.3724071146064662	1.0	-9.15384615384616	39	7	SP11
8	0.04256622221705796	1.0	24.47115384615384	39	8	SP24
9	0.8046698602208424	1.0	-19.098290598290603	8	9	SP6
10	0.9252112565473065	1.0	-15.542735042735046	8	10	SP2
11	0.14347511394390203	1.0	3.3461538461538396	79	11	SP10
12	0.5343194560909613	1.0	-4.542735042735046	39	12	SP0
13	0.8712760682937682	1.0	1.7461538461538453	26	13	SP8
14	0.0529733252015244	1.0	18.527972027972027	89	14	SP7
15	0.9769398633072264	1.0	-31.070512820512825	13	15	SP20
16	0.44968020855299623	1.0	-18.192307692307693	15	16	SP12
17	0.5068092636729763	1.0	-6.868131868131869	8	17	SP23
18	0.430772107964491	1.0	-1.082417582417591	8	18	SP16
19	0.11012977309677872	1.0	15.989010989010978	15	19	SP1
20	0.21467615023472364	1.0	7.746153846153845	26	20	SP3
21	0.9280953892580344	1.0	-26.787179487179493	13	21	SP14
22	0.2699944594002773	1.0	-4.889140271493218	15	22	SP4
23	0.06461511063085905	1.0	6.16968325791855	26	23	SP9
