	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y
0	0.9662664379645511	1.0	-84.64029736942432	8	0	SP61
1	0.010863350485991996	1.0	110.35970263057568	228	1	SP11
2	0.14503525824280541	1.0	59.35970263057568	175	2	SP81
3	0.010863350485991996	1.0	110.35970263057568	228	3	SP70
4	0.01581856298837431	1.0	107.35970263057568	225	4	SP41
5	0.40689918048408613	1.0	12.359702630575683	123	5	SP40
6	0.02105885418845612	1.0	69.35970263057568	175	6	SP78
7	0.07672292122792583	1.0	54.35970263057568	148	7	SP2
8	0.8862841774858572	1.0	-61.64029736942432	22	8	SP5
9	0.5876034063172348	1.0	-16.973630702757646	17	9	SP80
10	0.06208427895830256	1.0	41.35970263057568	20	10	SP57
11	0.0917241281774619	1.0	42.02636929724234	63	11	SP60
12	0.02126726050421644	1.0	63.02636929724234	148	12	SP79
13	0.0917241281774619	1.0	23.026369297242354	1	13	SP82
14	0.29894231115263686	1.0	11.109702630575683	66	14	SP53
15	0.0012130420695914993	0.0	98.35970263057568	168	15	SP58
16	0.1193228721342037	1.0	27.859702630575683	8	16	SP62
17	0.11427770822597287	1.0	30.75970263057569	74	17	SP34
18	6.489872649885011e-05	0.0	89.95970263057568	175	18	SP54
19	4.97225591707553e-07	0.0	95.95970263057568	210	19	SP48
20	9.948363356811589e-07	0.0	86.85970263057568	195	20	SP73
21	0.17588045943790684	1.0	13.859702630575683	63	21	SP66
22	0.2401745268337663	1.0	11.450611721484776	20	22	SP16
23	0.0011196908836828738	0.0	55.72333899421206	85	23	SP65
24	0.1558706243443195	1.0	19.859702630575683	2	24	SP17
25	0.468924790680358	1.0	3.2827795536526025	5	25	SP71
26	0.9614865113162192	1.0	-16.101835830962784	5	26	SP59
27	0.9638732461806926	1.0	-39.4260116551386	7	27	SP49
28	0.00771887596623856	1.0	32.50255977343282	17	28	SP4
29	0.902245679644566	1.0	-12.373630702757652	2	29	SP50
30	0.1434125527607823	1.0	22.672202630575683	68	30	SP20
31	0.010634861004073848	1.0	32.42220263057568	20	31	SP37
32	0.11820744941552211	1.0	13.984702630575683	17	32	SP25
33	0.6626452074274103	1.0	-0.3461797223654912	6	33	SP18
34	0.3317401852029165	1.0	2.91525818613124	16	34	SP3
35	0.4866682381120467	1.0	-8.587665790476947	25	35	SP31
36	0.1763458017928247	1.0	16.90970263057568	2	36	SP69
37	0.617891169269773	1.0	4.90970263057568	14	37	SP39
38	0.36634501815818976	1.0	-4.690297369424314	6	38	SP63
39	0.7767683554685154	1.0	-4.164106893233836	4	39	SP36
40	0.9654476536130803	1.0	-17.640297369424317	3	40	SP21
41	0.1383389070804799	1.0	8.814248085121136	3	41	SP52
42	0.5858269085886855	1.0	-1.7312064603334107	13	42	SP56
43	0.123248262081356	1.0	6.7233389942120425	23	43	SP19
44	0.26750938088033016	1.0	8.586975357848416	1	44	SP83
45	0.005259244332682986	0.0	25.359702630575683	7	45	SP38
46	0.6084765396669057	1.0	1.6640504566626362	6	46	SP6
47	0.00117761116544588	0.0	29.185789587097418	26	47	SP64
48	0.6328198140798125	1.0	-3.4229060650764893	9	48	SP22
49	0.4810141339260433	1.0	1.1930359639090113	6	49	SP35
50	0.5491898282488872	1.0	1.8397026305756867	5	50	SP68
51	0.45618211079211746	1.0	1.959702630575677	15	51	SP8
52	0.6169741628866947	1.0	0.39673966761272084	6	52	SP67
53	0.12784084575123744	1.0	11.507850778723835	2	53	SP10
54	0.9715712475062661	1.0	-11.997440226567178	5	54	SP1
55	0.8012239669210679	1.0	-5.329952541838111	1	55	SP33
56	0.542546810771356	1.0	4.193035963909011	3	56	SP74
57	0.4777784386200105	1.0	-7.34029736942432	2	57	SP46
58	0.2573732901528267	1.0	1.166154243478914	2	58	SP47
59	0.021277439564643726	1.0	17.714541340253106	3	59	SP30
60	0.6519470950338582	1.0	-0.18868446619850943	11	60	SP23
61	0.009557816249566212	1.0	23.42421875960794	5	61	SP13
62	0.35550025458298556	1.0	6.302559773432819	1	62	SP45
63	0.3067220937054877	1.0	5.386729657602714	13	63	SP27
64	0.869286468146346	1.0	-16.871066600193544	1	64	SP42
65	0.022438780377558584	1.0	14.65970263057568	14	65	SP9
66	0.31843850463487083	1.0	0.7255562891122622	4	66	SP51
67	0.0002179118262361696	0.0	32.1256600773842	14	67	SP29
68	0.1593799048195956	1.0	6.380979226320363	1	68	SP26
69	0.1758588190380994	1.0	5.061830290150155	4	69	SP15
70	0.14766466536620182	1.0	4.859702630575683	9	70	SP24
