	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y
0	0.5523474767762993	1.0	-2.033149171270722	123	0	SP43
1	0.06703489831785087	1.0	76.96685082872928	209	1	SP31
2	0.6500125533517449	1.0	-20.033149171270722	105	2	SP28
3	0.025608837559628422	1.0	90.96685082872928	223	3	SP45
4	0.011046949535525985	0.0	94.96685082872928	227	4	SP47
5	0.9481065109042749	1.0	-95.03314917127072	12	5	SP1
6	0.7139007952472708	1.0	-56.03314917127072	69	6	SP11
7	0.016052393357017736	1.0	54.30018416206262	181	7	SP10
8	1.7278768016781028e-05	0.0	94.96685082872928	223	8	SP8
9	0.151445611601115	1.0	23.30018416206262	135	9	SP35
10	8.089102318370068e-07	0.0	93.21685082872928	221	10	SP9
11	1.3694012340341562e-10	0.0	95.13351749539594	225	11	SP48
12	2.373130027104193e-11	0.0	95.3954222573007	221	12	SP25
13	1.825563060579133e-09	0.0	91.82399368587214	215	13	SP40
14	1.0477542377759935e-10	0.0	92.21685082872928	215	14	SP32
15	6.6187703850621946e-15	0.0	94.1890730509515	223	15	SP33
16	1.8403895609767125e-16	0.0	95.06685082872927	223	16	SP30
17	5.162124488589827e-18	0.0	94.694123556002	223	17	SP41
18	0.46209019070340357	1.0	-2.783149171270722	53	18	SP26
19	0.3293341466018701	1.0	-6.970649171270722	57	19	SP27
20	0.5763568583786651	1.0	-16.533149171270722	23	20	SP13
21	0.5568124123691148	1.0	-5.033149171270722	6	21	SP6
22	0.3508828468345504	1.0	-3.650796230094258	2	22	SP7
23	0.7378768562265714	1.0	-9.106319902978044	2	23	SP5
24	0.7154580695398637	1.0	-5.301006314127861	5	24	SP16
25	0.9851077309364922	1.0	-19.699815837937393	2	25	SP0
26	0.9249000062584863	1.0	-13.168742391609712	1	26	SP21
27	0.293839466780991	1.0	-1.7315618696834179	4	27	SP4
28	0.7101428463493391	1.0	-0.9498158379373933	4	28	SP19
29	0.4630862320182661	1.0	-0.46370472682627906	5	29	SP15
30	0.7989102192115584	1.0	-5.295053933175481	1	30	SP3
31	0.9571097005290129	1.0	-16.195939868945146	2	31	SP20
32	0.17754058560818528	1.0	1.5623564467068007	7	32	SP14
33	0.8703605905448719	1.0	-8.280460999227714	6	33	SP24
34	0.7063193507047538	1.0	-5.014101552223096	1	34	SP17
35	0.8832718385821137	1.0	-11.919941624100915	1	35	SP2
36	0.8420538203727806	1.0	-14.785149171270717	1	36	SP42
37	0.9995959317359631	1.0	-8.831394785305804	1	37	SP49
