	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y
0	0.40384615384615385	1.0	34.50322580645161	181	0	SP35
1	0.8589743589743589	1.0	-65.49677419354839	76	1	SP55
2	0.23717948717948717	1.0	45.50322580645161	194	2	SP48
3	0.6538461538461539	1.0	2.50322580645161	147	3	SP41
4	0.23717948717948717	1.0	45.50322580645161	194	4	SP62
5	0.6538461538461539	1.0	2.50322580645161	147	5	SP56
6	0.6538461538461539	1.0	2.50322580645161	147	6	SP57
7	1.0	1.0	-120.49677419354839	3	7	SP23
8	0.6538461538461539	1.0	2.50322580645161	147	8	SP14
9	0.05740650008165932	1.0	49.50322580645161	194	9	SP59
10	0.012493875551200392	1.0	71.50322580645161	220	10	SP22
11	0.012493875551200392	1.0	71.50322580645161	220	11	SP40
12	0.6621754042136208	1.0	-9.99677419354839	76	12	SP54
13	1.0	1.0	-120.49677419354839	3	13	SP24
14	0.18601992487342806	1.0	41.00322580645161	175	14	SP39
15	1.0	1.0	-120.49677419354839	3	15	SP26
16	0.07724247855667674	1.0	40.83655913978495	181	16	SP37
17	0.0015024280726127054	0.0	71.50322580645161	220	17	SP21
18	0.3891025124194519	1.0	2.50322580645161	147	18	SP45
19	0.04985899091707333	1.0	28.50322580645161	175	19	SP60
20	0.36495583083216326	1.0	-0.99677419354839	3	20	SP0
21	0.05995676420352726	1.0	16.074654377880194	3	21	SP2
22	0.6964771991708535	1.0	-33.78248847926268	76	22	SP34
23	0.06718692207585611	1.0	30.614336917562724	76	23	SP64
