	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y
0	0.37642276422764226	1.0	32.20016273393003	158	0	SP1
1	0.424390243902439	1.0	21.20016273393003	146	1	SP36
2	0.1886178861788618	1.0	74.20016273393003	203	2	SP3
3	0.6421707515206753	1.0	-56.79983726606997	65	3	SP21
4	0.2550732103584237	1.0	2.2001627339300285	124	4	SP14
5	0.41655472119302833	1.0	-19.79983726606997	102	5	SP19
6	0.2550732103584237	1.0	11.700162733930028	124	6	SP35
7	0.6556674669825402	1.0	-16.59983726606997	16	7	SP18
8	0.7828675110224156	1.0	-26.79983726606997	9	8	SP27
9	0.024682601169368722	1.0	34.53349606726337	129	9	SP15
10	0.5138101194320144	1.0	3.771591305358598	23	10	SP16
11	0.010227415865206242	1.0	33.20016273393003	134	11	SP17
12	0.8739999533490793	1.0	-28.656980123212833	16	12	SP25
13	0.04401187305080884	1.0	37.34301987678717	16	13	SP33
14	0.002760416501854661	0.0	62.80016273393002	26	14	SP28
15	0.8545161279322595	1.0	-35.46650393273664	9	15	SP29
16	0.4122083376842601	1.0	12.507855041622335	9	16	SP32
17	0.606442492940234	1.0	-5.9331705994033115	9	17	SP24
18	0.8381266488471634	1.0	-12.623366677834682	10	18	SP34
19	0.3663832611824203	1.0	12.755718289485586	27	19	SP30
20	0.2903364432397046	1.0	3.9501627339300285	9	20	SP23
21	0.7274964645179611	1.0	-1.8798372660699698	1	21	SP0
22	0.006914669603594329	1.0	18.16891273393003	1	22	SP31
23	0.9125947246010445	1.0	-10.610648076880778	1	23	SP9
24	5.069428471050984e-06	0.0	28.005040782710523	16	24	SP11
25	0.29582550333804575	1.0	1.340162733930029	2	25	SP20
26	0.01081880220638743	1.0	22.740162733930035	8	26	SP4
27	0.02784423531652489	1.0	13.841672167892298	2	27	SP2
28	0.7669088152598356	1.0	-18.23620090243361	8	28	SP26
29	0.6108241944333501	1.0	-1.886793787809097	1	29	SP5
30	0.5668572915657386	1.0	-1.2859483771810858	8	30	SP6
31	0.09351238274735414	1.0	4.783496067263357	2	31	SP7
