	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y
0	0.403954802259887	1.0	18.1756373937677	143	0	SP17
1	0.24858757062146894	1.0	58.1756373937677	187	1	SP4
2	0.6299435028248588	1.0	-24.8243626062323	99	2	SP21
3	0.021930452773135992	1.0	74.1756373937677	205	3	SP7
4	0.5883981857245166	1.0	12.675637393767701	91	4	SP5
5	0.0014482374472825654	0.0	97.1756373937677	228	5	SP40
6	0.06232195432481897	1.0	58.1756373937677	187	6	SP32
7	0.8919392058566086	1.0	-39.8243626062323	8	7	SP31
8	0.9768918596323705	1.0	-97.8243626062323	8	8	SP23
9	0.5197421819049892	1.0	17.1756373937677	84	9	SP24
10	0.34898986376840363	1.0	-24.8243626062323	99	10	SP13
11	0.015755550250656482	1.0	71.1756373937677	187	11	SP15
12	0.003326529353228493	0.0	74.1756373937677	205	12	SP18
13	0.4600616649813181	1.0	-27.49102927289897	91	13	SP36
14	0.34898986376840363	1.0	-24.8243626062323	99	14	SP3
15	0.38073242123380047	1.0	-10.074362606232299	91	15	SP10
16	0.4619858913977665	1.0	-39.8243626062323	84	16	SP37
17	0.9758479871277733	1.0	-68.8243626062323	8	17	SP8
18	0.13015830089817812	1.0	17.9256373937677	8	18	SP22
19	0.38073242123380047	1.0	-28.8243626062323	91	19	SP27
20	0.3160934396638268	1.0	17.6756373937677	84	20	SP35
21	0.31504185465224305	1.0	3.575637393767707	91	21	SP39
22	0.45156249512402064	1.0	-17.424362606232293	8	22	SP26
23	0.016590458365660036	1.0	18.1756373937677	143	23	SP19
24	0.4062638110425638	1.0	13.975637393767698	84	24	SP14
25	0.0007858142883361252	1.0	58.1756373937677	8	25	SP11
26	0.25580914538932037	1.0	2.5089707271010298	91	26	SP20
27	0.02528158403322204	1.0	36.1756373937677	84	27	SP2
28	0.5818346937134076	1.0	-26.99102927289897	8	28	SP6
29	0.25580914538932037	1.0	25.1756373937677	91	29	SP33
30	0.29841638149994104	1.0	9.74706596519627	84	30	SP9
31	0.022437770862942713	1.0	7.800637393767701	8	31	SP16
