	0	1	2	3	4	5	6	7	8
am0167	0	0	0	0	0	0	0	0	0
am0168	0	0	0	0	0	0	0	0	0
am0169	0	1	1	1	3	2	5	1	1
am0171	0	3	2	2	3	2	0	1	2
am0172	0	2	1	2	4	0	4	0	2
am0173	0	0	0	0	0	0	0	0	0
am0174	0	0	2	3	4	3	0	1	2
am0175	0	0	4	4	3	1	0	1	2
am0176	0	0	0	0	0	0	0	0	0
am0177	0	2	2	1	5	2	2	0	1
am0178	0	1	2	4	1	0	0	7	0
am0179	0	0	3	0	1	3	4	0	4
am0180	0	0	0	0	0	0	0	0	0
am0181	0	0	1	2	5	1	2	3	1
am0182	0	2	2	0	1	0	3	1	6
am0183	0	1	0	1	2	3	1	4	3
am0184	0	1	2	1	2	3	2	3	1
am0185	0	2	1	3	5	1	2	0	1
am0186	0	0	0	0	0	0	0	0	0
am0187	0	0	2	2	1	1	1	2	6
am0188	0	2	0	2	2	1	0	4	4
am0189	0	0	4	3	1	0	2	1	4
am0190	0	0	1	1	0	2	1	3	7
am0192	0	0	0	0	0	0	0	0	0
am0194	0	0	0	0	0	0	0	0	0
am0195	0	0	0	0	2	4	1	2	6
am0196	0	1	0	4	1	2	3	2	2
am0197	0	2	2	1	1	3	3	2	1
am0198	0	2	1	2	3	1	2	1	3
am0199	0	1	3	2	2	1	1	2	3
am0200	0	0	5	4	4	1	0	0	1
am0201	0	1	0	1	1	1	3	1	7
am0202	0	3	0	0	2	5	2	2	1
am0203	0	1	2	2	2	1	0	4	3
am0204	0	4	1	0	0	2	2	3	3
am0205	0	0	0	2	1	0	5	2	5
am0206	0	0	0	0	0	0	0	0	0
am0207	0	2	1	3	2	1	1	2	3
am0208	0	1	0	0	1	2	5	5	1
am0209	0	1	1	1	3	2	2	2	3
am0210	0	0	0	0	1	2	1	3	8
am0211	0	4	1	1	2	3	1	0	3
am0212	0	1	2	4	0	1	1	3	3
am0213	0	0	0	0	0	0	0	0	0
am0214	0	0	1	3	2	1	1	3	4
am0215	0	1	4	2	2	1	0	4	1
am0216	0	2	3	3	2	2	1	0	2
am0217	0	0	0	0	3	1	4	4	3
am0218	0	2	0	0	1	2	3	2	5
am0219	0	1	3	3	2	3	0	1	2
am0220	0	2	1	2	3	4	1	0	2
am0221	0	1	1	3	0	1	3	3	3
am0222	5	0	3	3	0	2	1	0	1
am0223	0	1	0	0	2	3	3	3	3
am0224	0	0	0	0	0	0	0	0	0
am0225	0	1	1	2	3	3	2	1	2
am0226	0	0	2	4	0	4	2	1	2
am0227	0	2	1	1	1	1	1	3	5
am0228	0	1	0	1	2	3	6	0	2
am0229	0	5	1	1	1	2	0	4	1
am0230	0	0	2	5	3	0	3	2	0
am0231	0	2	0	0	2	6	1	2	2
