	0	1	2
am0001	0	0	0
am0002	3	1	4
am0003	2	2	4
am0004	0	2	6
am0005	0	0	0
am0006	0	0	0
am0007	0	0	0
am0008	0	0	0
am0009	0	2	6
am0010	2	3	3
am0011	1	2	5
am0012	0	0	0
am0013	0	0	0
am0014	1	4	3
am0015	0	0	0
am0016	0	0	0
am0017	0	0	0
am0018	0	0	0
am0019	0	0	0
am0020	2	5	1
am0021	2	4	2
am0022	0	4	4
am0023	0	0	0
am0024	0	0	0
am0025	0	0	0
am0026	0	0	0
am0027	0	0	0
am0028	1	4	3
am0029	0	0	0
am0030	2	4	2
am0031	2	5	1
am0039	0	0	0
am0051	0	0	0
am0052	0	0	0
am0053	0	0	0
am0054	0	0	0
am0055	0	0	0
am0056	1	3	4
am0057	0	0	0
am0058	0	0	0
am0059	0	0	0
am0060	0	0	0
am0061	0	3	5
am0062	1	5	2
am0063	0	7	1
am0064	0	5	3
am0065	0	4	4
am0066	0	0	0
am0067	0	2	6
am0068	0	0	0
am0069	0	0	0
am0070	0	0	0
am0071	0	0	0
am0072	0	0	0
am0073	0	0	0
am0074	0	0	0
am0075	0	0	0
am0076	0	0	0
am0077	0	0	0
am0078	0	0	0
am0079	0	3	5
am0080	0	0	0
am0081	0	1	7
am0082	0	0	0
am0083	0	0	0
am0084	0	0	0
am0085	0	0	0
am0086	0	2	6
am0087	0	0	0
am0088	0	0	0
am0089	2	4	2
am0090	0	0	0
am0091	0	0	0
am0092	0	0	0
am0093	0	0	0
am0094	0	0	0
am0095	0	3	5
am0096	0	0	0
am0097	0	0	0
am0098	1	5	2
am0099	0	0	0
am0100	0	0	0
am0101	0	0	0
am0102	0	0	0
am0103	0	3	5
am0104	1	1	6
am0105	0	0	0
am0106	1	3	4
am0107	1	4	3
am0108	1	4	3
am0109	4	1	3
am0110	5	1	2
am0111	0	0	0
am0112	2	3	3
am0113	1	4	3
am0114	0	0	0
am0115	0	0	0
am0116	2	2	4
am0117	0	0	0
am0118	0	5	3
am0119	1	0	7
am0120	0	5	3
am0121	0	0	0
am0122	0	0	0
am0123	1	3	4
am0124	0	0	0
am0125	0	4	4
am0126	0	0	0
am0127	0	0	0
am0128	1	2	5
am0129	0	4	4
am0130	0	0	0
am0131	1	3	4
am0132	0	3	5
am0134	3	2	3
am0135	2	4	2
am0136	2	0	6
am0137	0	0	0
am0138	1	4	3
am0139	1	1	6
am0140	1	2	5
am0141	0	0	0
am0142	2	1	5
am0143	1	2	5
am0146	0	4	4
am0147	0	0	0
am0148	1	1	6
am0149	0	0	0
am0150	2	5	1
am0151	0	0	0
am0152	0	3	5
am0153	0	0	0
am0155	2	1	5
am0156	1	5	2
am0157	0	3	5
am0158	2	5	1
am0159	0	0	0
am0160	2	2	4
am0161	4	1	3
am0162	2	3	3
am0163	0	5	3
am0164	0	0	0
am0165	4	2	2
am0166	0	0	0
am0167	0	0	0
am0168	2	1	5
am0169	3	2	3
am0171	2	3	3
am0172	1	1	6
am0173	0	0	0
am0174	2	1	5
am0175	3	2	3
am0176	2	2	4
am0177	0	4	4
am0178	0	3	5
am0179	1	2	5
am0180	0	0	0
am0181	3	3	2
am0182	0	0	0
am0183	3	3	2
am0184	0	2	6
am0185	0	0	0
am0186	1	2	5
am0187	2	2	4
am0188	0	0	0
am0189	0	3	5
am0190	0	0	0
am0192	0	4	4
am0194	0	2	6
am0195	3	2	3
am0196	3	2	3
am0197	1	3	4
am0198	2	3	3
am0199	1	1	6
am0200	0	4	4
am0201	0	0	0
am0202	0	0	0
am0203	0	4	4
am0204	0	0	0
am0205	3	5	0
am0206	2	4	2
am0207	1	2	5
am0208	4	1	3
am0209	0	7	1
am0210	0	0	0
am0211	0	0	0
am0212	0	0	0
am0213	0	0	0
am0214	0	0	0
am0215	3	1	4
am0216	1	4	3
am0217	0	4	4
am0218	2	3	3
am0219	0	0	8
am0220	0	0	0
am0221	0	0	0
am0222	4	1	3
am0223	1	4	3
am0224	0	0	0
am0225	0	0	0
am0226	4	4	0
am0227	1	2	5
am0228	0	6	2
am0229	0	0	0
am0230	1	1	6
am0231	4	1	3
