	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y
0	0.6925981873111783	1.0	-37.85563114134543	97	0	SP11
1	0.7061933534743202	1.0	-39.85563114134543	95	1	SP13
2	0.29349940147067205	1.0	2.1443688586545733	138	2	SP14
3	0.7459761728324688	1.0	-57.85563114134543	77	3	SP15
4	0.7459761728324688	1.0	-57.85563114134543	77	4	SP7
5	0.036370051815796896	1.0	48.14436885865457	188	5	SP8
6	0.9180591597687627	1.0	-13.230631141345427	8	6	SP1
7	0.031184558904133082	1.0	7.477702191987902	8	7	SP4
8	0.0625395881637355	1.0	5.233257747543462	8	8	SP0
9	3.6966242691014113e-05	1.0	17.41629868321597	8	9	SP20
10	1.85663006173977e-07	1.0	22.558161962102858	8	10	SP2
