	0	1	2	3	4	5	6	7
am0001	0	1	0	1	1	5	3	4
am0002	1	0	1	3	6	3	1	0
am0003	0	2	1	6	0	0	4	2
am0004	0	0	0	0	0	0	0	0
am0005	0	0	0	0	0	0	0	0
am0006	1	3	0	0	6	2	0	3
am0007	3	0	3	4	1	0	2	2
am0008	1	1	1	4	1	1	1	5
am0009	1	2	5	1	0	2	2	2
am0010	1	4	1	2	0	3	1	3
am0011	0	1	0	2	5	3	4	0
am0012	0	0	2	1	4	2	4	2
am0013	0	1	1	3	0	3	6	1
am0014	3	2	1	1	2	2	2	2
am0015	0	0	3	0	2	2	3	5
am0016	6	1	2	1	1	2	1	1
am0017	3	2	1	0	2	4	2	1
am0018	0	3	0	2	0	3	3	4
am0019	0	0	0	0	0	0	0	0
am0020	3	1	0	1	2	3	2	3
am0021	1	0	1	2	3	1	4	3
am0022	2	1	1	2	3	0	5	1
am0023	2	1	1	1	2	1	3	4
am0024	0	0	0	0	0	0	0	0
am0025	0	0	2	0	4	2	3	4
am0026	0	2	2	2	2	2	3	2
am0027	1	0	3	4	2	2	2	1
am0028	2	1	1	2	3	0	2	4
am0029	1	0	8	2	2	0	2	0
am0030	2	0	1	2	3	2	0	5
am0031	3	0	3	2	2	1	2	2
am0039	0	0	0	0	0	0	0	0
am0051	1	0	2	1	1	3	2	5
am0052	0	0	0	1	1	7	4	2
am0053	1	1	6	2	0	3	2	0
am0054	0	0	0	0	0	0	0	0
am0055	0	1	3	0	2	4	1	4
am0056	2	0	6	3	0	0	4	0
am0057	4	1	3	1	1	1	4	0
am0058	1	2	3	1	2	1	4	1
am0059	0	0	0	0	0	0	0	0
am0060	0	1	0	4	3	4	0	3
am0061	2	3	1	1	3	3	1	1
am0062	0	0	0	0	0	0	0	0
am0063	1	1	1	1	1	2	2	6
am0064	2	1	1	0	2	2	4	3
am0065	1	2	3	1	3	0	1	4
am0066	2	4	1	2	0	0	4	2
am0067	0	0	0	0	0	0	0	0
am0068	0	4	2	2	3	0	3	1
am0069	1	0	2	5	2	2	3	0
am0070	0	0	0	0	0	0	0	0
am0071	0	0	0	0	0	0	0	0
am0072	0	3	0	1	3	0	3	5
am0073	3	3	1	2	0	2	2	2
am0074	0	0	0	0	0	0	0	0
am0075	0	1	1	4	0	2	5	2
am0076	0	0	7	3	0	2	1	2
am0077	1	0	1	2	8	1	1	1
am0078	0	0	0	0	0	0	0	0
am0079	1	1	2	2	2	3	2	2
am0080	0	2	0	2	2	3	2	4
am0081	1	0	4	2	1	1	2	4
am0082	2	0	4	1	2	2	1	3
am0083	1	2	0	0	2	6	1	3
am0084	0	0	0	0	0	0	0	0
am0085	0	0	0	0	0	0	0	0
am0086	3	3	4	0	0	1	2	2
am0087	0	0	0	0	0	0	0	0
am0088	0	0	0	0	0	0	0	0
am0089	1	3	1	1	0	4	2	3
am0090	0	0	0	0	0	0	0	0
am0091	0	0	0	0	0	0	0	0
am0092	1	1	0	0	4	3	1	5
am0093	0	0	0	0	0	0	0	0
am0094	0	0	2	5	1	1	5	1
am0095	0	0	0	0	0	0	0	0
am0096	0	0	0	0	0	0	0	0
am0097	0	2	2	3	1	4	2	1
am0098	1	3	2	1	4	0	3	1
am0099	0	0	0	0	0	0	0	0
am0100	0	0	0	0	0	0	0	0
am0101	0	0	0	0	0	0	0	0
am0102	0	0	0	0	0	0	0	0
am0103	0	2	1	0	1	4	3	4
am0104	0	0	0	0	0	0	0	0
am0105	2	3	1	3	0	0	5	1
am0106	0	0	0	0	0	0	0	0
am0107	0	0	0	0	0	0	0	0
am0108	3	1	2	2	1	3	1	2
am0109	0	0	0	0	0	0	0	0
am0110	3	2	2	0	1	3	3	1
am0111	0	0	0	0	0	0	0	0
am0112	0	0	0	0	0	0	0	0
am0113	0	0	0	0	0	0	0	0
am0114	0	1	0	2	4	0	3	5
am0115	0	0	0	0	0	0	0	0
am0116	1	1	1	2	3	3	1	3
am0117	1	1	1	1	2	3	5	1
am0118	1	3	2	1	4	3	1	0
am0119	2	2	0	1	2	4	1	3
am0120	1	3	1	2	0	3	2	3
am0121	0	0	0	0	0	0	0	0
am0122	0	0	0	0	0	0	0	0
am0123	0	0	0	0	0	0	0	0
am0124	0	2	3	1	3	0	1	5
am0125	0	2	1	2	0	3	3	4
