	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y
0	0.8352	1.0	-71.80128205128206	58	0	SP9
1	0.5856	1.0	-12.801282051282058	117	1	SP45
2	0.5856	1.0	-12.801282051282058	117	2	SP28
3	0.8576	1.0	-73.80128205128206	56	3	SP27
4	0.896	1.0	-79.80128205128206	39	4	SP5
5	0.5072	1.0	12.198717948717942	143	5	SP51
6	0.5072	1.0	12.198717948717942	143	6	SP39
7	0.5072	1.0	12.198717948717942	143	7	SP52
8	0.7968	1.0	-68.80128205128206	61	8	SP19
9	0.896	1.0	-79.80128205128206	39	9	SP15
10	0.112	1.0	81.19871794871794	218	10	SP7
11	0.896	1.0	-79.80128205128206	39	11	SP10
12	0.5072	1.0	12.198717948717942	143	12	SP32
13	0.7491373801916933	1.0	-15.301282051282058	39	13	SP2
14	0.8853674121405751	1.0	-79.80128205128206	39	14	SP12
15	0.2655233226837061	1.0	12.198717948717942	143	15	SP46
16	0.17881150159744408	1.0	38.69871794871794	162	16	SP44
17	0.7559003194888179	1.0	-68.80128205128206	61	17	SP56
18	0.7771697020652124	1.0	-18.801282051282058	58	18	SP58
19	0.47693616032529773	1.0	16.865384615384613	58	19	SP76
20	0.8736664781325955	1.0	-79.80128205128206	39	20	SP8
21	0.04855068254429277	1.0	38.8653846153846	58	21	SP34
22	0.0014587033951419357	0.0	81.19871794871794	218	22	SP30
23	0.08995132152192856	1.0	45.8653846153846	162	23	SP29
24	0.04855068254429277	1.0	38.19871794871794	56	24	SP22
25	0.7771697020652124	1.0	-42.80128205128206	58	25	SP11
26	2.370026139994191e-05	0.0	94.19871794871794	231	26	SP13
27	0.013165065003360605	1.0	46.19871794871794	181	27	SP57
28	7.547853949026086e-07	0.0	94.19871794871794	231	28	SP24
29	0.021094088069395858	1.0	70.44871794871794	143	29	SP20
30	0.04438981705703995	1.0	54.69871794871794	162	30	SP14
31	0.8457383320060001	1.0	-78.60128205128206	39	31	SP1
32	0.5785377261668253	1.0	-2.201282051282064	61	32	SP3
33	0.06452716912559321	1.0	40.59871794871795	61	33	SP16
34	0.10109165731577047	1.0	32.3653846153846	56	34	SP47
35	0.6854806442035007	1.0	-50.22985347985349	56	35	SP0
36	0.795065927318678	1.0	-73.80128205128206	39	36	SP6
37	0.013564428913730145	1.0	38.69871794871794	143	37	SP31
38	0.1394645126873176	1.0	18.948717948717942	56	38	SP75
39	0.0024991792974091466	0.0	55.19871794871794	162	39	SP4
40	0.3741919536003061	1.0	-11.301282051282058	56	40	SP62
41	0.5118220203032682	1.0	-8.892191142191152	56	41	SP61
42	0.5230917999883685	1.0	-32.4441391941392	56	42	SP17
43	0.4877220793557904	1.0	0.6362179487179418	56	43	SP59
44	0.6020811749816337	1.0	-15.420329670329679	39	44	SP84
45	0.19726991881724779	1.0	4.5623543123543016	39	45	SP83
