	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y
0	0.389937106918239	1.0	27.518987341772146	161	0	SP16
1	0.21234276729559748	1.0	41.518987341772146	155	1	SP1
2	0.35809748427672955	1.0	6.518987341772146	137	2	SP5
3	0.1535377358490566	1.0	44.518987341772146	161	3	SP17
4	0.02223719676549865	1.0	56.518987341772146	181	4	SP3
5	0.9730510668096121	1.0	-41.231012658227854	14	5	SP2
6	0.2349922523015222	1.0	20.518987341772146	99	6	SP0
7	0.9730510668096121	1.0	-67.73101265822785	14	7	SP12
8	0.00030873095891692043	0.0	72.71898734177213	199	8	SP10
9	0.9717207906728104	1.0	-49.31434599156119	14	9	SP13
10	0.3313426061723215	1.0	-12.981012658227854	99	10	SP6
11	0.04715988542954458	1.0	42.23327305605787	137	11	SP11
12	0.5366192453829075	1.0	-1.0365682137834114	52	12	SP4
13	0.11645715834141607	1.0	28.185654008438803	113	13	SP9
14	0.5202511227003331	1.0	3.3651411879259854	52	14	SP15
15	0.011534196399159731	1.0	31.661844484629285	14	15	SP8
16	0.01040545111949971	1.0	42.23327305605787	113	16	SP14
