	0	1	2	3	4	5
am0176	0	0	0	0	0	0
am0177	0	0	0	0	0	0
am0178	0	0	0	0	0	0
am0179	0	0	0	0	0	0
am0180	0	0	0	0	0	0
am0181	4	1	1	3	3	3
am0182	0	0	0	0	0	0
am0183	0	0	0	0	0	0
am0184	0	0	0	0	0	0
am0185	0	0	0	0	0	0
am0186	0	0	0	0	0	0
am0187	0	0	0	0	0	0
am0188	0	0	0	0	0	0
am0189	0	0	0	0	0	0
am0190	0	0	0	0	0	0
am0192	0	0	0	0	0	0
am0194	0	0	0	0	0	0
am0195	0	0	0	0	0	0
am0196	0	0	0	0	0	0
am0197	2	3	1	0	4	5
am0198	2	3	6	1	2	1
am0199	0	0	0	0	0	0
am0200	1	1	1	4	5	3
am0201	0	3	0	3	7	2
am0202	0	0	0	0	0	0
am0203	0	0	0	0	0	0
am0204	3	0	5	4	1	2
am0205	1	0	6	0	3	5
am0206	0	0	0	0	0	0
am0207	0	2	0	4	4	5
am0208	1	1	4	2	4	3
am0209	0	0	0	0	0	0
am0210	0	0	0	0	0	0
am0211	4	0	2	4	4	1
am0212	0	0	0	0	0	0
am0213	0	0	0	0	0	0
am0214	0	0	0	0	0	0
am0215	0	0	0	0	0	0
am0216	0	0	0	0	0	0
am0217	0	0	0	0	0	0
am0218	0	0	0	0	0	0
am0219	0	0	0	0	0	0
am0220	0	0	0	0	0	0
am0221	0	0	0	0	0	0
am0222	0	0	0	0	0	0
am0223	0	0	0	0	0	0
am0224	0	0	0	0	0	0
am0225	0	0	0	0	0	0
am0226	0	0	0	0	0	0
am0227	0	0	0	0	0	0
am0228	0	0	0	0	0	0
am0229	0	0	0	0	0	0
am0230	0	0	0	0	0	0
am0231	0	0	0	0	0	0
