	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y
0	0.4813439187261281	1.0	-33.1618444846293	84	0	SP5
1	0.4343614573829968	1.0	3.6159332931484727	28	1	SP15
2	0.8885794179285003	1.0	-33.73327305605787	6	2	SP14
3	0.24195601541274403	1.0	-7.632432719923415	51	3	SP19
4	0.4221721420250728	1.0	-0.2144760635766687	2	4	SP12
5	0.47972246757696485	1.0	-4.876130198915007	12	5	SP9
6	0.9442173447802978	1.0	-20.29517781796264	2	6	SP8
7	0.6736920153278235	1.0	-11.595177817962636	2	7	SP13
8	0.17539270565945347	1.0	9.648966326181508	7	8	SP2
9	0.30488023112180584	1.0	6.884667143277682	8	9	SP16
10	0.5949957033428991	1.0	-5.002753575538392	7	10	SP3
11	0.44757402531920526	1.0	-1.2345717573565764	10	11	SP4
12	0.04701652522595743	1.0	3.5048221820373726	5	12	SP7
13	0.2617577039331922	1.0	-1.2631103074141095	3	13	SP1
14	0.5358099631701445	1.0	-2.5493444846293016	4	14	SP0
15	0.10866046747884699	1.0	8.610882788097967	10	15	SP6
16	0.3945865632965855	1.0	-2.920086242871051	4	16	SP26
17	0.012531069410527899	1.0	15.741068136729922	2	17	SP10
18	0.00021739823413100497	1.0	14.129822182037373	2	18	SP11
