	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y
0	0.976897689768977	1.0	-98.42384105960265	7	0	SP9
1	0.570957095709571	1.0	-9.423841059602651	114	1	SP38
2	0.44224422442244227	1.0	29.57615894039735	157	2	SP21
3	0.40264026402640263	1.0	35.57615894039735	163	3	SP20
4	0.056105610561056105	1.0	94.57615894039735	225	4	SP47
5	0.44224422442244227	1.0	29.57615894039735	157	5	SP15
6	0.976897689768977	1.0	-98.42384105960265	7	6	SP11
7	0.24917491749174916	1.0	24.07615894039735	143	7	SP17
8	0.13016762202536042	1.0	42.57615894039735	171	8	SP44
9	0.24917491749174916	1.0	18.57615894039735	143	9	SP37
10	0.46651902032308495	1.0	-18.42384105960265	105	10	SP34
11	0.0033220427305888484	0.0	94.57615894039735	225	11	SP7
12	0.0033220427305888484	0.0	94.57615894039735	225	12	SP51
13	0.13016762202536042	1.0	42.57615894039735	171	13	SP46
14	0.06455654840721346	1.0	30.242825607064006	7	14	SP52
15	0.8564078797871159	1.0	-83.42384105960265	22	15	SP49
16	0.7988547365115641	1.0	-23.17384105960265	7	16	SP23
17	0.24598578494605283	1.0	21.57615894039735	105	17	SP6
18	0.0939471671371573	1.0	37.57615894039735	143	18	SP41
19	0.027992810999912632	1.0	29.57615894039735	157	19	SP19
20	0.6168623175737991	1.0	-72.42384105960265	51	20	SP28
21	0.17710350321805587	1.0	4.9761589403973545	105	21	SP29
22	0.8022165525017904	1.0	-21.590507726269323	22	22	SP2
23	0.0035497980107741215	0.0	60.29044465468307	163	23	SP3
24	0.5381589066211693	1.0	-23.56669820245979	51	24	SP27
25	0.9654529339944742	1.0	-36.42384105960265	7	25	SP16
26	0.7865179123476503	1.0	-53.42384105960265	20	26	SP1
27	0.20222452087651388	1.0	23.84888621312463	22	27	SP4
28	0.6875713040053686	1.0	-56.14606328182487	20	28	SP0
