	0	1	2	3	4	5	6	7
am0001	1	0	0	0	2	0	0	4
am0002	0	1	1	1	0	2	1	1
am0003	1	0	1	1	3	1	0	0
am0004	0	0	0	0	0	0	0	0
am0005	0	0	0	0	0	0	0	0
am0006	0	1	0	2	2	0	1	1
am0007	0	2	0	0	1	1	3	0
am0008	0	1	2	2	1	0	0	1
am0009	1	1	0	0	1	2	0	2
am0010	1	1	0	0	2	1	2	0
am0011	0	0	0	2	2	1	1	1
am0012	0	0	0	3	1	3	0	0
am0013	0	0	1	0	3	0	1	2
am0014	1	2	0	0	0	2	1	1
am0015	1	0	0	0	2	0	3	1
am0016	1	0	0	1	0	1	3	1
am0017	1	0	0	0	1	2	1	2
am0018	1	1	1	0	1	0	0	3
am0019	0	0	0	0	0	0	0	0
am0020	3	2	0	0	1	0	1	0
am0021	1	2	0	1	0	0	2	1
am0022	1	0	1	0	3	1	1	0
am0023	0	0	2	3	0	0	0	2
am0024	0	0	1	1	3	0	0	2
am0025	1	0	0	0	0	2	1	3
am0026	1	2	0	1	0	0	1	2
am0027	1	1	2	0	0	0	2	1
am0028	0	1	1	2	1	2	0	0
am0029	0	0	0	0	0	2	2	3
am0030	4	2	0	0	0	0	1	0
am0031	0	1	0	4	1	1	0	0
am0039	0	2	0	2	3	0	0	0
am0051	3	0	0	0	0	1	2	1
am0052	0	0	1	0	3	0	1	2
am0053	2	0	0	2	0	1	1	1
am0054	2	0	0	1	1	0	2	1
am0055	0	0	0	2	1	1	2	1
am0056	0	0	1	0	1	2	3	0
am0057	0	1	0	0	1	2	2	1
am0058	0	2	0	0	0	2	3	0
am0059	0	0	0	0	0	0	0	0
am0060	0	0	4	1	2	0	0	0
am0061	0	2	0	0	1	2	1	1
am0062	2	1	0	0	1	0	2	1
am0063	1	0	1	0	0	2	2	1
am0064	2	0	0	0	0	4	1	0
am0065	1	0	3	0	1	0	1	1
am0066	2	1	2	0	0	1	1	0
am0067	0	0	0	0	0	0	0	0
am0068	0	0	1	0	0	0	5	1
am0069	0	1	1	1	1	2	0	1
am0070	0	0	0	0	0	0	0	0
am0071	0	0	0	0	0	0	0	0
am0072	1	1	2	0	0	1	1	1
am0073	2	1	2	0	0	0	2	0
am0074	2	0	1	0	1	0	2	1
am0075	1	1	1	0	0	2	1	1
am0076	0	0	0	1	0	5	1	0
am0077	0	0	2	0	1	3	1	0
am0078	1	0	4	1	0	0	0	1
am0079	1	0	0	0	2	0	1	3
am0080	1	0	1	0	1	0	0	4
am0081	0	0	2	1	1	2	1	0
am0082	0	1	1	1	1	1	1	1
am0083	1	1	0	2	1	0	1	1
am0084	2	0	0	0	2	0	1	2
am0085	0	0	0	1	0	0	4	2
am0086	0	3	0	0	0	2	1	1
am0087	0	0	0	0	0	0	0	0
am0088	0	0	0	0	0	0	0	0
am0089	0	0	1	1	0	1	3	1
am0090	0	2	0	1	1	1	1	1
am0091	0	0	1	0	0	3	1	2
am0092	2	1	1	2	0	0	1	0
am0093	0	0	0	0	0	0	0	0
am0094	0	0	2	1	0	2	0	2
am0095	0	0	1	5	0	0	0	1
am0096	1	0	0	0	2	1	3	0
am0097	0	0	1	1	2	3	0	0
am0098	0	0	1	0	2	1	1	2
am0099	0	0	2	0	1	0	4	0
am0100	0	0	0	0	0	0	0	0
am0101	0	0	0	0	0	0	0	0
am0102	0	0	0	0	0	0	0	0
am0103	0	0	0	0	1	3	1	2
am0104	0	0	0	0	0	0	0	0
am0105	1	0	0	0	1	1	2	2
am0106	0	0	0	1	2	1	0	3
am0107	0	0	0	0	0	0	0	0
am0108	0	1	0	2	0	2	2	0
am0109	0	0	2	0	1	0	3	1
am0110	0	1	0	1	1	0	3	1
am0111	2	1	0	1	3	0	0	0
am0112	0	0	0	0	0	0	0	0
am0113	0	0	0	0	0	0	0	0
am0114	0	1	1	0	1	0	1	3
am0115	0	0	1	2	1	0	3	0
am0116	2	0	0	1	2	0	2	0
am0117	1	1	1	1	2	1	0	0
am0118	1	3	0	1	0	1	1	0
am0119	1	1	0	0	0	0	3	2
am0120	2	0	0	0	1	1	2	1
am0121	0	0	0	0	2	0	3	2
am0122	0	0	0	0	0	0	0	0
am0123	0	0	0	0	0	0	0	0
am0124	0	2	0	3	0	2	0	0
am0125	1	1	2	0	1	1	0	1
