	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y	DR
97	0.0014656004931151282	0.0	80.9064687930106	187	7	SP51	DR250_rarefy_6reads
98	0.00019612488794497007	0.0	100.9064687930106	201	10	SP60	DR250_rarefy_6reads
99	0.00019057106023470026	0.0	101.9064687930106	205	11	SP65	DR250_rarefy_6reads
100	0.0011739730545744108	0.0	65.3064687930106	22	21	SP48	DR250_rarefy_6reads
101	2.938137297369159e-05	0.0	82.9064687930106	187	25	SP55	DR250_rarefy_6reads
102	1.7031675667305655e-09	0.0	78.7064687930106	184	59	SP67	DR250_rarefy_6reads
103	0.004141714846189508	0.0	98.6754507628294	206	5	SP25	DR8_rarefy_6reads
104	0.00840461540386181	0.0	90.6754507628294	172	8	SP35	DR8_rarefy_6reads
105	0.01145862234008741	0.0	66.00878409616274	171	9	SP27	DR8_rarefy_6reads
106	0.003062770409510121	0.0	70.34211742949606	175	13	SP22	DR8_rarefy_6reads
107	0.01508552918904594	0.0	53.1754507628294	123	19	SP30	DR8_rarefy_6reads
108	0.00558382862304053	0.0	78.17545076282941	149	20	SP21	DR8_rarefy_6reads
109	0.011801313396145277	0.0	56.6754507628294	109	24	SP52	DR8_rarefy_6reads
110	0.011801313396145277	0.0	65.87545076282939	109	25	SP48	DR8_rarefy_6reads
111	0.011801313396145277	0.0	34.075450762829405	109	26	SP46	DR8_rarefy_6reads
112	0.0008884920242609136	0.0	92.2754507628294	123	27	SP45	DR8_rarefy_6reads
113	0.0005979161269514966	0.0	74.0754507628294	171	29	SP26	DR8_rarefy_6reads
114	0.010707819801743651	0.0	43.6754507628294	94	30	SP51	DR8_rarefy_6reads
115	0.002435489809066804	0.0	26.96116504854369	103	31	SP15	DR8_rarefy_6reads
116	0.003595700387506704	0.0	27.1754507628294	77	32	SP19	DR8_rarefy_6reads
117	0.0003625330865782404	0.0	48.03259361997226	66	47	SP38	DR8_rarefy_6reads
118	0.005593577060880235	0.0	17.527302614681247	6	53	SP0	DR8_rarefy_6reads
119	0.0021352465824127503	0.0	32.2778947084379	6	2	SP9	DR26_rarefy_6reads
120	0.005343500048625889	0.0	19.293046223589414	6	7	SP23	DR26_rarefy_6reads
121	0.00036667865290363367	0.0	19.329002804322123	8	17	SP22	DR26_rarefy_6reads
