	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y	DR
0	0.001564144937094423	0.0	21.404100051572982	5	21	SP27	DR242_rarefy_20reads
1	7.573407389806168e-06	0.0	17.567454088840066	9	24	SP26	DR242_rarefy_20reads
2	0.0009097591820713019	0.0	81.80952380952381	195	60	SP98	DR33_rarefy_20reads
3	0.0002145080485703728	0.0	86.55952380952381	205	64	SP112	DR33_rarefy_20reads
4	0.0011401868029418311	0.0	63.976190476190474	162	87	SP39	DR33_rarefy_20reads
5	1.1675513067141087e-07	0.0	89.40952380952379	172	109	SP46	DR33_rarefy_20reads
6	0.0004436074714880366	0.0	39.892857142857146	26	113	SP22	DR33_rarefy_20reads
7	2.050676572035537e-06	0.0	74.1756373937677	205	14	SP2	DR39_rarefy_20reads
8	0.008377360524937618	0.0	94.06533066132263	205	3	SP4	DR230_rarefy_20reads
9	0.004861419710920457	0.0	70.06533066132265	179	4	SP5	DR230_rarefy_20reads
10	0.0018962120480595641	0.0	59.77961637560837	65	13	SP20	DR230_rarefy_20reads
11	0.0006361097447327393	0.0	48.84310843910042	30	16	SP15	DR230_rarefy_20reads
12	0.0001766762703485795	0.0	69.49065420560747	23	21	SP4	DR41_rarefy_20reads
13	0.001684962849718224	0.0	46.93272425249168	227	0	SP5	DR280_rarefy_20reads
14	0.0009949498018383524	0.0	45.982724252491685	226	1	SP2	DR280_rarefy_20reads
15	0.002415385115350067	0.0	42.68272425249168	215	4	SP1	DR280_rarefy_20reads
16	0.019784148902416625	0.0	35.754152823920265	198	6	SP9	DR280_rarefy_20reads
17	0.011612659255355788	0.0	27.307724252491678	198	7	SP4	DR280_rarefy_20reads
18	0.00017914682119403414	0.0	38.516057585825024	198	14	SP14	DR280_rarefy_20reads
19	0.002849659316832584	0.0	13.052995877447769	11	2	SP7	DR45_rarefy_20reads
20	0.0003770936550242939	0.0	13.687301088365883	11	3	SP6	DR45_rarefy_20reads
21	0.0039181245369681456	0.0	17.588964888280884	56	13	SP14	DR44_rarefy_20reads
22	0.003202295507684323	0.0	8.461428656396834	27	17	SP6	DR44_rarefy_20reads
23	0.0013193464081982618	0.0	74.288679245283	195	26	SP53	DR240_rarefy_20reads
24	0.0001645243634258443	0.0	64.28867924528302	183	42	SP6	DR240_rarefy_20reads
25	9.28573794171868e-07	0.0	70.96054750402574	109	23	SP39	DR36_rarefy_20reads
26	0.0011516475213030207	0.0	32.814348673616394	27	47	SP24	DR36_rarefy_20reads
27	5.426075303713104e-06	0.0	50.982769726247994	21	49	SP35	DR36_rarefy_20reads
28	0.0002031114397601979	0.0	65.84825870646766	158	8	SP8	DR49_rarefy_20reads
29	0.0008740267053989767	0.0	54.19966996699669	159	21	SP23	DR40_rarefy_20reads
30	0.0009125405362790156	0.0	52.03300330033004	22	36	SP41	DR40_rarefy_20reads
31	0.025689255665836463	0.0	30.37603305785125	172	0	SP5	DR244_rarefy_20reads
32	0.0012082791958233253	0.0	16.934045061566664	70	1	SP2	DR272_rarefy_20reads
33	0.0007971826177700466	0.0	15.42736056958806	70	2	SP1	DR272_rarefy_20reads
34	0.007344388696614026	0.0	4.811822660098528	227	8	SP6	DR207_rarefy_20reads
35	0.003278947584935272	0.0	3.656267104542991	226	12	SP5	DR207_rarefy_20reads
36	0.0026277435099341033	0.0	4.295155993431877	226	15	SP1	DR207_rarefy_20reads
37	0.0009070014693469847	0.0	93.3597026305757	197	14	SP53	DR11_rarefy_20reads
38	0.0007046398280814374	0.0	98.69303596390905	199	15	SP0	DR11_rarefy_20reads
39	0.001717735883944717	0.0	49.359702630575676	164	19	SP76	DR11_rarefy_20reads
40	8.810871416513567e-05	0.0	102.6097026305757	197	20	SP73	DR11_rarefy_20reads
41	2.7009138762133305e-06	0.0	94.95970263057569	205	23	SP48	DR11_rarefy_20reads
42	0.0022399409937753547	0.0	85.55970263057567	132	24	SP44	DR11_rarefy_20reads
43	0.00012025787344989973	0.0	82.02636929724234	66	26	SP70	DR11_rarefy_20reads
44	0.004728434191434624	0.0	62.02636929724235	102	27	SP34	DR11_rarefy_20reads
45	3.6308706307205305e-06	0.0	79.78827405914708	172	28	SP54	DR11_rarefy_20reads
46	0.0029332439013852875	0.0	16.55535480448873	3	71	SP74	DR11_rarefy_20reads
47	0.004271601623930467	0.0	9.927702630575679	3	77	SP15	DR11_rarefy_20reads
48	9.217466633557556e-05	0.0	41.45370306815842	26	9	SP1	DR58_rarefy_20reads
49	0.010361793135569987	0.0	62.353801169590646	198	0	SP5	DR108_rarefy_20reads
50	0.0010804649414699542	0.0	32.88633382589781	22	2	SP8	DR16_rarefy_20reads
51	0.010178930976841622	0.0	13.522471207679802	21	10	SP16	DR16_rarefy_20reads
52	1.8602239153665118e-06	0.0	81.45901639344262	217	7	SP7	DR264_rarefy_20reads
53	0.0058658991460502794	0.0	56.11644811584158	143	3	SP30	DR2_rarefy_20reads
54	0.013448373864588432	0.0	39.44978144917489	129	4	SP27	DR2_rarefy_20reads
55	0.00971146519036896	0.0	37.28311478250824	123	5	SP33	DR2_rarefy_20reads
56	0.0007642021957131742	0.0	30.783114782508235	7	8	SP28	DR2_rarefy_20reads
57	0.014745383812069331	0.0	20.949781449174907	4	14	SP45	DR2_rarefy_20reads
58	0.0006134308219220749	0.0	16.943829068222527	3	16	SP34	DR2_rarefy_20reads
59	0.002392220440102925	0.0	24.473590972984425	10	19	SP11	DR2_rarefy_20reads
60	0.0001031217223961548	0.0	23.96053413734694	2	28	SP32	DR2_rarefy_20reads
61	0.0004759215739777039	0.0	15.768551675712118	2	30	SP26	DR2_rarefy_20reads
62	0.002708741039567793	0.0	17.0467511461446	5	32	SP16	DR2_rarefy_20reads
63	0.007145777079403414	0.0	16.307308330895342	5	39	SP8	DR2_rarefy_20reads
64	0.00013353931815242965	0.0	16.857741648179886	2	41	SP22	DR2_rarefy_20reads
65	2.1783196487229205e-05	0.0	71.1981351981352	219	47	SP30	DR263_rarefy_20reads
66	0.004746842210572824	0.0	60.14191616766468	206	12	SP8	DR12_rarefy_20reads
67	9.615739828574416e-06	0.0	82.5419161676647	218	17	SP66	DR12_rarefy_20reads
68	2.7357744332933372e-05	0.0	54.64191616766468	23	18	SP52	DR12_rarefy_20reads
69	0.001842355466782223	0.0	18.33239235814088	8	22	SP19	DR12_rarefy_20reads
70	0.00010255719357838818	0.0	31.80940818050193	11	73	SP4	DR18_rarefy_20reads
