	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
am0073	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	6	3	3	1	0	6	0	1	3
am0074	0	0	0	0	0	0	0	0	0	0	2	1	1	0	2	0	0	1	0	2	0	1	0	2	2	2	1
am0075	0	0	0	0	0	0	0	0	0	2	2	0	0	2	2	1	1	0	1	0	1	2	2	3	0	2	3
am0076	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	3	0	3	0	2	0	0
am0077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0
am0079	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	4	0	3	1	1	1	0	2	1
am0080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0081	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	2	0	3	3	1	7	8	2	2
am0082	0	0	0	0	0	0	0	0	0	1	2	0	0	1	2	0	1	3	3	1	3	7	2	2	6	7	10
am0083	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	4	3	5	3	1	4	11
am0084	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	1
am0085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	4	0	0	5	7
am0086	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
am0087	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	2	2	1	1
am0088	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	2	0	0
am0089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	1	6	0	0
am0090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
am0091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	1	0	0	1	0
am0092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	1	5	0	3	0	2	0	1
am0093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	1	2	2	0	2	3
