	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
am0107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	12	10	20	23	13	13	12	12	12	16	16	14	13	23	16	29	18	22	21	23	20	14	23	23	22	17	34	34	16	20	20	27	22	25	20	26	19	24	27	18	31	38	19	28	40	25	33	537
am0108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	3	7	5	7	6	3	7	7	4	6	5	7	7	5	7	4	6	6	10	10	5	13	13	3	8	11	11	10	9	9	8	2	9	10	6	7	7	7	9	11	19	5	12	9	11	14	213
am0109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	10	8	13	7	16	13	13	19	10	9	16	15	12	15	14	15	15	17	17	20	15	15	7	15	19	19	18	15	18	16	14	20	19	16	18	18	19	20	25	21	18	22	16	22	21	407
am0110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	16	11	20	17	18	18	16	17	17	19	21	17	27	22	27	27	23	32	32	23	33	21	28	28	38	34	31	31	34	26	34	34	32	32	32	37	33	46	28	41	34	41	26	35	43	44	39	720
am0111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	18	11	13	17	16	20	20	20	25	15	26	18	16	18	17	16	19	19	13	23	24	21	21	16	21	20	20	33	20	26	22	30	31	28	23	25	21	24	24	37	24	36	29	32	40	42	569
am0112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	2	7	4	6	3	3	4	3	5	5	5	3	4	4	2	2	3	8	6	6	6	8	4	5	5	9	5	6	6	9	1	8	5	6	5	8	6	11	5	7	10	10	10	8	133
am0113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	35	24	22	19	17	39	24	35	35	23	37	30	35	36	23	26	28	29	29	24	22	39	22	22	38	45	32	32	40	52	48	39	49	34	55	37	35	41	38	50	51	38	48	53	48	59	64	898
am0114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	16	8	17	21	10	13	13	19	19	12	12	14	17	22	19	25	27	28	28	29	17	21	20	20	21	14	17	17	30	21	21	20	27	33	32	36	33	36	17	19	33	29	26	35	28	41	35	641
am0115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	6
am0116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	9	11	11	12	3	16	7	7	13	11	13	4	9	12	16	4	9	9	12	18	19	16	15	11	8	14	14	17	11	6	14	18	23	10	12	13	12	17	9	22	19	25	12	21	22	17	334
am0117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	4	10	9	15	13	11	9	11	12	12	13	12	12	7	9	22	21	19	16	16	19	17	13	10	10	11	8	13	13	16	14	12	19	15	17	14	23	24	19	16	12	15	15	19	14	19	18	19	366
am0118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	7	11	19	20	14	13	8	11	11	21	22	15	19	16	27	28	31	39	40	37	25	12	12	12	17	15	18	18	29	29	23	10	33	29	20	48	35	45	36	23	27	26	32	21	35	42	27	608
am0119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	16	15	8	14	18	15	9	9	13	29	24	21	16	16	18	13	23	23	13	17	20	18	18	19	23	32	32	20	35	29	21	23	20	15	27	21	26	32	29	31	35	28	24	21	28	35	511
am0120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	9	11	9	1	9	6	10	10	11	4	12	13	8	14	12	20	10	10	11	6	9	14	14	12	14	13	13	12	10	14	17	10	15	14	15	20	13	4	16	14	16	22	15	23	15	20	301
am0121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	18	5	9	5	9	16	4	4	20	13	26	13	14	13	10	8	14	14	13	7	16	27	27	18	17	20	20	21	18	17	17	21	16	11	19	16	20	17	21	24	30	35	20	29	28	29	391
am0122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2	3	3	2	5	5	3	4	1	7	1	4	4	2	4	4	6	4	3	7	7	5	7	14	14	11	5	8	10	17	12	6	4	5	8	5	8	7	15	5	4	11	19	4	181
am0123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	4	8	12	10	16	10	13	13	10	13	9	13	14	12	12	14	18	18	20	14	13	9	9	13	26	10	10	17	17	20	24	22	18	16	26	17	26	16	31	21	14	16	21	18	25	17	386
am0124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	12	6	12	13	12	17	12	13	13	16	23	11	23	16	19	16	17	16	16	12	16	15	26	26	23	28	24	24	17	29	25	25	20	20	19	21	26	26	29	40	29	32	22	23	27	27	18	499
am0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	6	4	4	3	6	9	6	6	10	8	9	10	9	8	4	5	6	6	4	4	12	6	6	13	11	5	5	10	9	13	8	14	9	10	9	12	9	9	14	11	6	14	12	14	16	17	213
am0126	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	4	1	1	0	4	1	5	5	3	3	4	2	4	6	1	6	4	4	4	1	3	4	4	9	2	8	8	5	4	4	5	8	9	8	4	8	5	1	3	7	9	8	5	8	8	8	138
am0127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	6	8	10	4	4	4	7	7	9	3	7	12	7	9	10	7	5	5	3	7	5	13	13	19	13	14	14	8	3	13	15	11	15	9	9	14	7	5	14	10	18	14	13	26	14	15	235
am0128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	6	6	9	7	2	8	8	11	13	6	10	4	9	9	11	7	7	9	11	6	6	6	9	11	6	6	14	17	14	4	17	9	9	9	15	10	16	13	17	8	12	5	15	23	6	232
am0129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	6	5	7	7	8	7	7	10	11	8	7	6	2	7	8	13	13	12	9	9	3	3	11	6	3	3	11	15	8	12	11	6	8	16	5	19	14	7	12	7	12	14	17	15	14	255
am0130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	10	15	14	12	9	15	16	16	13	9	14	11	15	12	24	11	19	19	13	18	18	5	5	17	9	10	10	16	14	14	11	19	15	32	25	15	18	22	12	16	11	19	28	15	24	34	435
am0131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	3	5	5	2	1	1	1	5	3	5	6	6	4	6	4	4	7	5	2	4	4	4	10	7	7	4	6	8	7	6	5	6	5	6	4	5	12	4	8	5	10	5	7	10	138
am0132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	1	0	1	0	4	1	8	8	4	5	2	4	4	5	1	7	9	9	6	0	2	4	4	5	4	6	6	5	6	6	4	3	6	10	9	6	10	4	4	7	8	4	7	6	5	8	140
am0134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	7	5	5	5	4	4	4	5	5	4	7	4	9	5	6	8	8	8	9	8	5	9	9	9	7	7	7	9	5	5	13	9	10	7	16	8	13	10	9	17	9	13	12	12	13	13	187
am0135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	10	8	8	9	7	9	7	7	5	11	12	17	13	10	10	11	9	9	12	13	13	11	11	11	16	11	11	7	12	19	14	10	12	11	11	12	12	18	20	13	14	14	14	16	14	20	276
am0136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	3	3	2	4	4	4	3	6	3	3	1	3	3	4	2	2	4	5	4	5	5	1	2	4	4	7	7	3	4	7	2	7	3	4	5	19	3	6	5	4	4	1	9	6	124
am0137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	4	4	12	13	8	6	6	8	10	3	7	8	9	5	7	9	9	10	15	9	11	11	6	9	7	7	5	15	13	10	8	15	9	10	12	15	16	13	12	12	5	8	10	9	5	225
am0138	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	9	3	7	5	3	3	4	4	5	5	11	5	3	8	7	8	11	11	10	7	5	6	6	9	5	5	5	7	5	6	7	8	8	7	14	9	17	11	5	10	7	17	6	9	10	14	200
am0139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	3	4	5	4	9	5	5	9	10	9	4	4	4	4	3	6	6	8	7	11	6	6	13	5	15	15	4	13	5	10	7	15	8	7	6	10	11	6	4	16	16	7	13	8	13	209
am0140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	3	3	8	4	2	6	6	5	6	1	3	6	5	4	4	2	2	3	9	2	7	7	3	2	5	5	4	9	5	7	5	6	10	2	5	1	14	5	3	6	5	12	8	5	9	139
am0141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	3	3	3	2	2	6	0	4	4	2	5	2	2	4	4	2	3	3	4	4	10	4	4	4	6	2	4	5	6	4	3	5	7	6	4	5	6	5	8	3	11	9	5	100
am0142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	4	1	3	2	1	1	1	4	3	3	0	3	4	2	7	7	2	1	3	2	2	6	3	1	1	3	5	4	3	2	2	2	8	3	3	4	5	3	1	3	1	7	4	3	58
am0143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	2	0	2	4	4	4	4	4	3	6	5	3	3	2	3	5	5	6	3	5	5	5	2	4	3	3	6	6	6	3	7	2	11	5	3	8	3	5	5	4	8	9	3	9	12	132
am0146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	5	3	3	5	7	6	10	10	3	3	9	8	4	14	3	13	6	6	6	6	8	16	16	11	15	11	11	11	5	10	9	9	9	13	7	16	6	5	20	15	20	10	8	14	13	13	257
am0147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	5	6	6	9	5	2	9	9	5	7	6	10	9	4	8	6	6	6	7	12	2	5	5	3	13	10	10	4	7	12	13	4	13	11	7	6	8	15	14	5	12	12	19	6	7	24	236
am0148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	7	3	4	4	7	6	6	6	8	3	7	13	6	12	6	4	10	10	6	5	10	10	10	4	9	15	15	17	5	14	3	11	26	10	11	15	13	3	11	24	16	13	7	9	20	12	237
am0149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	6	10	16	8	11	9	11	11	10	6	6	12	9	9	16	7	14	14	18	14	11	10	10	16	10	13	13	14	7	16	15	14	17	16	21	9	17	11	16	19	15	16	13	13	17	17	315
am0150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	2	0	0	0	4	0	0	1	0	1	2	2	0	1	7	7	0	2	2	0	0	8	1	0	3	1	1	1	2	7	0	0	0	0	0	46
am0151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	10	6	7	5	4	6	6	4	4	9	6	4	9	11	11	9	9	10	13	5	3	3	7	8	14	14	15	7	7	6	19	20	8	11	13	11	12	9	10	14	15	6	7	19	12	251
am0152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	5	11	8	11	6	7	7	7	7	10	8	8	6	7	11	11	11	11	10	15	8	12	12	3	10	11	11	12	11	12	1	12	11	13	14	13	15	14	12	17	14	12	10	9	13	15	268
am0153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	1	0	1	0	0	0	2	0	10
am0155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	4	4	2	5	2	2	2	3	3	3	3	2	2	6	3	4	4	1	5	2	5	5	1	3	1	1	5	5	5	2	6	2	3	5	3	3	7	3	9	3	5	4	1	7	7	92
am0156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	7	13	13	7	7	7	13	13	10	5	11	11	11	5	14	0	3	3	3	13	10	7	7	10	8	11	11	14	7	13	9	11	8	19	10	5	5	12	10	14	13	17	17	16	16	23	276
am0157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	7	7	12	5	9	9	13	13	4	12	9	5	6	7	14	8	14	14	4	7	16	4	4	6	8	7	7	5	13	10	7	6	13	16	18	11	8	10	9	13	8	10	11	10	8	16	254
am0158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	1	2	3	2	0	0	0	1	4	3	4	4	4	5	2	2	0	4	2	5	5	0	4	2	2	4	2	3	4	9	6	2	2	5	3	4	6	6	6	5	4	6	11	6	100
am0159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12	13	8	14	12	14	18	23	23	17	21	20	24	13	13	18	20	16	16	19	18	27	13	14	14	22	14	14	21	26	30	18	21	20	30	21	20	16	31	23	24	20	29	22	28	31	33	529
am0160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	4	2	3	4	4	1	0	3	2	5	4	0	2	4	4	2	5	6	3	3	2	2	3	3	2	2	2	11	3	8	6	4	5	6	4	3	4	3	4	6	7	3	7	96
am0161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	0	2	2	2	2	0	2	1	6	2	2	9	7	7	9	2	3	3	3	8	7	5	5	2	0	1	5	2	3	7	7	9	11	1	7	8	6	4	8	10	2	10	109
am0162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	12	12	14	16	16	12	14	14	15	16	17	18	19	19	21	17	11	11	21	20	19	18	18	24	18	26	26	16	24	24	21	19	29	25	16	24	21	27	23	24	33	21	24	25	23	31	515
am0163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	0	0	3	3	3	0	1	4	1	1	2	1	4	2	2	1	1	4	5	5	3	3	5	5	5	1	1	1	5	2	4	2	4	3	1	3	3	5	2	1	3	6	3	70
am0164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	7	15	11	13	10	13	19	19	12	6	13	9	16	7	18	11	13	13	10	21	18	17	17	16	8	17	17	9	11	12	15	12	15	30	17	10	13	15	14	23	21	19	23	22	13	25	413
am0165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	4	3	5	4	3	3	5	4	4	7	0	7	5	5	5	5	4	4	4	8	8	8	6	6	6	5	7	8	3	3	10	3	5	9	6	11	9	7	14	9	3	6	7	5	143
am0166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	5	2	1	3	9	7	11	11	4	10	8	10	11	3	2	8	3	3	5	5	12	9	9	1	15	13	13	10	13	14	9	11	7	13	3	9	7	10	18	10	16	9	14	9	13	14	219
am0167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	6	3	0	0	0	4	4	1	7	4	5	2	1	3	3	1	8	0	6	6	2	5	6	6	9	6	8	3	8	2	1	5	6	2	9	5	7	7	4	4	0	11	4	84
am0168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	7	4	10	7	8	7	7	9	6	10	9	7	11	7	9	10	10	6	14	11	11	11	13	15	18	18	11	8	12	11	11	17	11	11	16	11	10	21	16	19	20	14	14	13	18	281
am0169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	6	8	8	2	8	6	11	11	6	5	7	9	3	3	10	5	12	12	8	4	8	6	6	9	7	7	7	6	10	12	6	6	7	17	14	6	18	4	8	10	9	11	13	14	8	18	222
am0171	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	6	3	3	1	3	5	3	3	8	2	8	9	5	3	3	7	4	4	8	2	5	4	4	9	8	3	3	4	5	9	6	3	2	5	5	7	8	3	8	7	4	14	6	11	4	11	108
am0172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	6	8	8	6	14	9	5	5	6	7	9	19	10	14	10	6	6	6	8	9	10	14	14	14	22	12	12	9	12	22	13	11	15	8	11	15	12	8	23	12	14	12	14	18	13	16	232
am0173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	4	3	6	3	11	9	12	13	13	11	10	3	13	8	13	7	13	7	7	13	13	14	8	8	9	18	7	7	6	13	16	12	6	12	18	9	14	11	14	20	8	10	14	14	11	8	16	266
am0174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	2	1	2	2	4	4	3	3	3	1	2	1	2	1	2	2	2	2	2	3	3	0	1	1	1	1	3	2	2	2	1	4	3	1	2	3	1	3	1	5	2	1	2	5	52
am0175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	4	7	2	5	4	5	5	3	2	6	6	10	4	8	5	8	8	7	2	5	11	11	11	4	6	6	4	5	6	14	4	6	8	12	6	7	5	7	7	8	7	16	9	5	16	156
am0176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	10	2	5	5	7	10	8	8	3	14	13	9	12	4	6	7	4	4	7	6	15	8	8	15	8	7	7	5	19	10	17	8	5	11	6	7	7	21	9	12	10	16	13	21	9	18	241
am0177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	13	11	8	8	5	19	12	12	9	4	21	8	10	17	13	5	6	6	8	11	23	19	19	15	14	11	11	7	6	9	16	7	16	20	9	18	12	8	15	20	21	23	18	22	9	28	344
am0178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	5	2	6	6	6	3	8	8	9	7	7	5	13	3	6	1	14	14	4	6	9	3	3	5	8	6	6	8	9	9	20	10	5	11	15	4	13	11	11	8	6	19	15	4	12	13	206
am0179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	6	2	4	10	7	10	12	12	14	13	8	10	16	9	6	12	7	7	17	10	14	13	13	9	13	10	10	13	13	14	14	11	13	17	9	11	15	20	17	15	14	16	21	22	17	25	316
am0180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	7	11	8	5	3	11	6	6	14	11	10	10	6	6	11	2	10	10	7	9	12	14	14	9	7	12	12	9	12	10	15	9	8	9	15	7	15	13	9	14	15	17	8	13	11	14	235
am0181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	7	10	9	10	6	14	7	8	8	13	15	11	13	11	10	13	4	8	8	8	12	12	25	25	14	15	11	11	7	25	18	15	11	12	17	14	10	9	18	16	17	18	21	15	19	13	25	301
am0182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	9	7	8	7	14	12	3	3	13	16	13	10	10	16	11	10	11	11	8	9	15	8	8	9	15	14	14	19	19	19	13	18	21	7	13	19	10	15	17	14	17	24	11	13	23	15	290
am0183	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	19	13	12	10	13	15	20	19	19	15	8	20	20	13	5	14	15	12	12	15	16	25	16	16	14	25	12	12	27	16	22	15	19	12	27	20	9	16	21	30	30	17	27	23	21	31	33	435
am0184	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	13	11	15	15	5	14	12	19	19	13	10	13	19	11	18	19	23	23	23	28	9	20	21	21	18	16	19	19	10	16	22	18	9	24	21	31	24	34	11	19	18	24	23	17	19	14	19	445
am0185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	10	14	18	13	20	22	15	14	14	20	19	21	23	24	11	20	13	14	14	13	25	23	31	31	13	22	33	33	16	31	32	25	23	24	22	21	14	20	32	31	32	41	37	33	22	28	36	576
am0186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	17	7	17	14	14	24	9	11	11	16	24	12	20	21	18	26	24	19	19	27	17	13	22	22	12	33	19	19	18	31	31	23	16	29	17	25	26	30	22	43	29	30	19	26	24	24	22	515
am0187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	7	4	8	12	10	10	9	9	6	11	13	13	6	12	9	16	11	11	17	13	15	11	11	12	8	15	15	7	18	15	12	8	18	12	15	15	14	22	9	9	18	17	9	14	10	15	321
am0188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	6	5	7	8	7	7	7	11	4	10	9	4	10	7	6	8	8	14	8	10	12	12	11	10	14	14	8	8	11	8	9	15	11	11	10	13	9	14	17	16	26	7	10	11	16	250
am0189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	6	4	3	3	8	3	3	5	2	9	7	10	8	8	7	11	11	12	4	10	11	11	7	10	8	8	1	4	7	8	6	5	9	12	10	17	3	10	6	11	6	15	11	6	13	192
am0190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	7	7	8	10	6	6	2	2	7	5	9	6	6	10	10	5	8	8	4	12	7	4	4	6	2	3	3	8	6	7	8	5	10	5	12	13	7	13	3	14	5	13	8	11	8	11	160
am0192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	5	4	4	4	2	2	2	2	3	5	4	0	3	6	2	7	7	0	6	3	4	4	7	6	4	4	9	4	6	5	6	4	4	9	4	7	4	6	15	4	5	3	6	11	7	106
am0194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	4	7	9	4	1	1	3	9	5	7	7	8	6	11	7	7	7	8	4	10	10	4	11	7	7	7	12	12	4	4	11	3	11	13	12	8	14	12	8	6	10	9	8	10	165
am0195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	7	6	12	7	3	3	3	8	7	5	9	9	4	8	11	6	6	6	12	4	6	6	2	12	8	8	6	8	12	5	6	9	7	10	11	9	14	13	10	12	15	9	4	9	10	193
am0196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	11	3	4	4	4	3	3	11	1	2	0	5	2	2	3	3	5	4	4	5	7	4	4	3	9	12	1	4	4	5	2	4	4	8	8	4	6	7	2	6	5	3	106
am0197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	9	11	5	5	1	1	1	4	9	2	6	6	13	13	13	10	11	11	9	2	7	7	5	6	7	7	5	12	8	7	4	12	2	15	15	15	14	7	10	9	9	7	9	6	8	192
am0198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	1	8	7	6	4	4	3	3	4	9	4	4	3	4	9	4	4	4	4	12	4	6	6	10	6	6	6	12	11	6	6	16	6	3	7	6	6	11	9	10	8	3	5	18	16	4	153
am0199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	5	5	7	7	7	8	15	16	10	11	7	10	12	10	8	15	10	10	18	8	14	11	11	9	8	10	10	18	13	11	15	6	12	22	15	15	22	17	10	34	11	13	20	12	18	21	324
am0200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	8	8	8	4	10	7	3	2	11	9	10	8	8	4	10	6	6	6	3	7	10	8	8	11	4	7	7	6	14	13	16	6	10	7	9	8	5	6	7	12	9	15	9	18	8	13	164
am0201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	7	4	9	9	6	10	8	8	9	5	9	7	8	11	10	12	13	13	9	11	11	15	15	12	11	15	15	9	7	9	12	9	16	13	14	16	13	9	15	12	18	15	10	21	12	15	275
am0202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	6	5	6	3	10	4	8	8	11	11	7	10	13	6	7	5	10	10	7	6	9	12	12	7	4	9	9	5	14	16	10	6	10	13	12	8	13	9	4	12	12	17	16	10	8	18	221
am0203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	11	6	2	17	8	7	5	5	2	16	14	9	7	6	6	17	4	4	12	18	9	9	9	6	11	15	15	12	20	12	12	14	12	7	5	12	12	25	13	13	18	17	7	8	16	16	293
am0204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	6	8	6	11	7	5	4	4	11	7	8	5	9	10	9	9	12	12	9	12	7	13	13	7	5	10	10	19	10	7	13	18	18	6	16	15	15	17	6	24	16	16	11	14	23	14	269
am0205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	17	8	19	15	13	7	6	12	12	6	5	9	11	10	13	25	9	8	8	17	19	11	19	19	17	16	13	13	11	8	14	22	13	18	16	12	14	10	11	26	12	22	17	18	22	17	23	327
