	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87
am0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	15	15	2	2	1	0	2	2	2	1	1	3	5	3	2	5	5	3	2	2	3	5	2	5	1	3	2	9	5	4	8	9	7	10	4	4	4	5	5	4	10	11	12	5	14	7	6	6	13	15	18	15	14	15	14	22	87
am0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	7	11	12	4	11	6	7	9	13	13	9	9	5	6	3	7	4	4	8	9	9	4	8	13	6	11	11	10	16	6	11	7	7	5	11	22	22	22	12	12	14	12	18	15	11	23	13	16	16	20	19	14	15	19	23	22	24	194
am0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	2	4	2	1	1	0	0	4	1	1	6	3	3	9	5	5	0	5	2	3	2	10	6	2	1	0	6	1	2	4	5	5	5	5	5	4	5	2	6	6	5	8	4	4	5	6	4	1	0	5	9	4	43
am0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	12	12	6	9	7	6	9	17	17	8	8	7	13	5	8	18	18	8	10	10	11	11	14	21	12	9	13	21	23	21	10	10	7	15	17	17	17	23	23	28	14	19	20	23	22	14	28	28	24	28	21	21	35	32	33	40	251
am0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	3	0	3	0	1	1	3	3	5	5	1	0	2	3	4	4	2	5	5	0	2	3	4	5	3	6	9	1	4	1	3	2	9	2	2	2	6	6	4	3	4	9	7	6	8	2	2	9	9	3	7	3	6	9	4	81
am0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	4	7	7	3	3	2	9	4	4	4	8	8	6	2	6	9	5	5	8	9	9	6	9	6	7	12	11	11	14	4	11	10	14	8	5	10	10	10	10	10	7	14	11	18	17	13	15	19	19	10	19	17	19	20	11	20	24	153
am0022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	9	9	4	5	6	5	7	8	8	18	18	3	8	5	5	7	8	6	6	6	3	7	9	9	20	8	9	19	10	25	5	21	8	25	19	19	19	24	24	17	11	20	21	23	31	16	12	12	28	27	34	34	36	30	33	52	250
am0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	1	2	2	3	3	0	4	1	4	4	7	7	4	5	1	2	5	5	10	1	1	8	1	3	8	11	11	1	4	5	10	9	10	2	12	6	6	6	11	11	4	1	15	6	5	10	9	5	5	15	6	14	16	14	19	12	16	95
am0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	5	5	5	7	4	5	7	7	7	4	4	6	3	3	0	4	4	5	1	1	4	1	9	4	6	6	1	3	4	4	6	9	3	3	7	7	7	5	5	14	1	14	5	14	10	5	6	6	5	5	15	10	9	20	6	16	86
