	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y
0	0.06584482937028376	1.0	14.69820359281438	3	0	SP46
1	0.045426451119719796	1.0	31.548203592814374	64	1	SP38
2	0.9504985094896036	1.0	-45.701796407185626	3	2	SP6
3	0.8414044428537408	1.0	-50.30179640718563	6	3	SP7
4	0.07830595045710294	1.0	13.886438886932027	14	4	SP26
5	0.34749096737170815	1.0	8.827615357520258	6	5	SP39
6	0.9156006025481631	1.0	-12.201796407185626	2	6	SP32
7	0.38509033209992294	1.0	-18.596533249290886	2	7	SP31
8	0.5918741987293384	1.0	-2.9875106928999173	3	8	SP36
9	0.32045968215671866	1.0	4.2982035928143745	27	9	SP2
10	0.39077810412442	1.0	10.345822640433425	6	10	SP40
11	0.2842811872320401	1.0	-4.2017964071856255	2	11	SP23
12	0.10914809403553825	1.0	16.434567229178015	14	12	SP34
13	0.33029899051819284	1.0	-1.3104920593595324	6	13	SP47
14	0.9974750953281631	1.0	-24.701796407185626	2	14	SP5
15	0.9294385150034499	1.0	-20.910129740518954	3	15	SP33
16	0.206947883184557	1.0	9.673203592814374	3	16	SP29
17	0.001477240538157845	0.0	29.658203592814388	27	17	SP3
18	0.9974653521439788	1.0	-27.163334868724093	2	18	SP4
19	0.5587736245045708	1.0	-5.932565637954852	2	19	SP16
20	0.14677406587709066	1.0	7.567434362045148	2	20	SP30
21	0.032587591042578606	1.0	13.261166555777336	3	21	SP10
22	0.6993428342265866	1.0	-14.844653550042764	12	22	SP18
23	0.552166611603011	1.0	0.048203592814374474	2	23	SP21
24	0.1146358020533811	1.0	-9.380367835757056	25	24	SP48
25	0.4445312272733567	1.0	6.2982035928143745	2	25	SP24
26	0.22666209043756166	1.0	11.815444972124723	3	26	SP9
27	0.7701349562115226	1.0	-4.401796407185628	3	27	SP25
28	0.09847172183423579	1.0	5.864870259481037	3	28	SP37
29	0.8363413114103223	1.0	-5.035129740518954	1	29	SP8
30	0.2525839239367517	1.0	3.7820745605563104	2	30	SP11
31	0.6112025331954711	1.0	-15.983046407185626	2	31	SP42
32	0.012308078659513748	1.0	30.14668844129922	25	32	SP28
33	0.0625005472648154	1.0	4.94526241634378	27	33	SP35
34	0.22917640659128416	1.0	5.8864388869320265	2	34	SP13
35	0.4948199755234493	1.0	-6.525325818950336	2	35	SP17
36	0.0032371845315393214	1.0	34.092321239873186	27	36	SP41
37	0.047245304491125614	1.0	6.180556533990838	2	37	SP44
38	0.9082172782817259	1.0	-19.501796407185623	1	38	SP1
39	0.8773771064773312	1.0	-4.146240851630068	2	39	SP15
40	0.9708123963413864	1.0	-10.676155381544604	2	40	SP12
41	0.22411675234848144	1.0	2.8623061569169437	2	41	SP43
42	0.9487705887112073	1.0	-13.67679640718562	1	42	SP0
43	0.3193619526062207	1.0	1.5664962757412013	2	43	SP27
44	0.1970675609785803	1.0	4.530761732349262	3	44	SP19
45	0.09656500665679808	1.0	10.934567229178015	3	45	SP20
46	0.7941286466857645	1.0	-21.72401862940785	2	46	SP49
47	0.0813983886553392	1.0	2.928638375423077	2	47	SP22
48	0.2180345427616422	1.0	-1.1583181463160628	2	48	SP45
49	0.0008519268254569884	0.0	30.631536926147717	3	49	SP14
