	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y
0	0.5096153846153846	1.0	26.911717495987162	177	0	SP0
1	0.6794871794871795	1.0	-27.088282504012838	118	1	SP17
2	0.9086538461538461	1.0	-99.08828250401284	28	2	SP15
3	0.05608974358974359	1.0	65.91171749598716	218	3	SP14
4	0.6538461538461539	1.0	-19.088282504012838	126	4	SP13
5	0.07051282051282051	1.0	63.91171749598716	216	5	SP9
6	0.6602564102564102	1.0	-21.088282504012838	124	6	SP12
7	0.4011692307692308	1.0	9.911717495987162	150	7	SP11
8	0.06687692307692308	1.0	58.41171749598716	200	8	SP7
9	0.024374358974358974	1.0	62.91171749598716	214	9	SP6
10	0.24720512820512822	1.0	36.41171749598716	179	10	SP3
11	0.3714	1.0	7.911717495987162	157	11	SP20
12	0.3623692307692308	1.0	8.911717495987162	158	12	SP21
13	0.9389846153846154	1.0	-56.08828250401284	23	13	SP8
14	0.3257846153846154	1.0	37.41171749598716	166	14	SP18
15	0.3714	1.0	7.911717495987162	157	15	SP19
16	0.5884931924305726	1.0	-13.088282504012838	98	16	SP22
17	0.5736953999187079	1.0	-48.08828250401284	81	17	SP16
18	0.39286445821619626	1.0	18.911717495987162	79	18	SP4
19	0.006685802273001872	1.0	18.102193686463366	124	19	SP5
20	1.0470912070862566e-06	0.0	40.261717495987156	8	20	SP23
21	0.006314969596706113	1.0	12.444504381233074	25	21	SP10
22	0.25354411693936013	1.0	-0.6659524069254559	2	22	SP1
23	0.996114479189273	1.0	-8.590745558200027	2	23	SP2
