	0	1	2	3	4	5	6	7	8	9	10	11	12	13
am0118	0	0	0	0	0	0	4	1	1	4	5	3	6	6
am0119	0	0	0	0	0	0	2	4	5	5	3	1	5	6
am0120	0	0	0	0	0	0	4	0	0	5	4	3	7	8
am0121	0	0	0	0	0	1	2	2	2	4	3	6	4	7
am0122	0	0	0	0	0	0	2	3	3	1	4	3	2	4
am0123	0	0	0	0	0	0	1	6	7	1	5	7	2	8
am0124	0	0	0	0	0	0	3	4	4	6	7	3	6	6
am0125	0	0	0	0	0	0	1	2	2	2	1	5	2	6
am0126	0	0	0	0	0	0	4	8	8	3	7	0	4	1
am0127	0	0	0	0	0	0	1	3	3	3	4	1	3	3
am0128	0	0	0	0	0	0	4	6	7	7	8	12	10	16
am0129	0	0	0	0	0	0	1	3	3	5	4	8	6	12
am0130	0	0	0	0	0	0	1	0	0	1	1	1	1	2
am0131	0	0	0	0	0	0	2	1	2	2	2	5	2	3
am0132	0	0	0	0	0	0	2	0	0	4	2	3	5	8
am0134	0	0	0	0	0	0	4	0	0	3	5	1	4	1
am0135	0	0	0	0	0	0	2	1	1	3	2	2	4	4
am0136	0	0	0	0	0	0	3	9	10	6	5	8	6	12
am0137	0	0	0	0	0	0	3	4	4	5	3	7	6	4
am0138	0	0	0	0	0	0	3	4	6	3	4	3	3	5
am0139	0	0	0	0	0	0	3	2	3	2	4	0	4	1
am0140	0	0	0	0	0	0	3	0	1	5	3	4	5	6
am0141	0	0	0	0	0	0	1	0	0	2	1	1	3	2
am0142	0	0	0	0	0	0	3	1	2	1	3	3	2	3
am0143	0	0	0	0	0	0	9	8	9	12	15	13	16	21
am0146	0	0	0	0	0	0	6	6	9	7	6	4	8	9
am0147	0	0	0	0	0	0	2	6	7	3	5	2	3	5
am0148	0	0	0	0	0	0	4	15	17	8	8	7	9	10
am0149	0	0	0	0	0	0	3	11	11	1	4	1	3	2
am0150	0	0	0	0	0	0	6	7	10	5	9	6	5	8
am0151	0	0	0	0	0	0	0	0	0	1	0	3	1	4
am0152	0	0	0	0	0	0	0	0	0	0	1	2	0	2
am0153	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0155	0	0	0	0	0	0	1	2	3	2	1	3	2	5
am0156	0	0	0	0	0	0	3	2	2	4	5	5	5	6
am0157	0	0	0	0	1	0	3	1	1	3	3	3	4	4
am0158	0	0	0	0	0	0	2	2	2	4	2	5	5	8
am0159	0	0	0	0	0	0	1	2	2	2	2	6	2	7
am0160	0	0	0	0	0	0	3	4	4	3	5	8	4	9
am0161	0	0	0	0	0	0	0	0	0	1	1	3	1	4
am0162	0	0	0	0	0	0	6	7	8	10	9	16	10	20
