	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98
am0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	7	0	0	1	3	2	9	9	0	0	2	0	10	0	2	4	3	2	2	0	1	2	0	4	2	0	4	4	4	6	0	2	1	5	1	3	10	4	5	5	1	5	4	1	4	8	0	2	3	5	3	6	1	3	3	4	3	9	6	5	24
am0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	5	3	4	4	4	13	2	9	2	3	3	1	1	5	8	5	9	10	7	7	6	5	4	1	8	9	10	11	11	8	8	14	2	8	8	7	2	10	12	9	9	6	5	11	14	3	12	17	12	11	5	3	10	14	13	19	19	22	15	11	17	68
am0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	3	3	4	5	0	7	4	0	0	2	0	4	2	4	3	1	2	2	0	0	4	0	8	1	5	2	2	1	3	4	3	2	4	0	7	6	1	3	3	7	0	2	10	3	2	4	9	2	4	2	6	12	4	7	1	4	3	7	11	40
am0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	8	2	2	13	5	2	8	13	5	5	4	1	14	6	6	6	6	9	9	6	2	10	5	8	6	6	5	5	8	7	10	3	9	7	11	13	16	8	2	2	5	12	3	3	12	7	12	13	14	22	13	8	6	13	14	19	7	7	9	9	69
am0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	3	3	2	1	1	3	4	0	0	0	1	4	6	3	2	2	2	2	0	3	3	0	0	5	9	4	4	3	3	4	4	1	8	0	2	4	4	8	8	5	1	0	1	2	1	6	0	0	3	4	0	1	3	2	2	0	5	0	5	31
am0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	2	0	0	0	1	1	1	0	0	1	3	0	0	2	1	1	1	3	3	0	0	2	4	1	1	2	1	6	0	3	1	4	5	1	1	1	1	4	1	2	0	2	2	6	0	3	8	13	4	1	5	8	2	6	9	4	2	9
am0022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	2	0	5	1	1	3	1	1	6	6	2	7	2	7	4	2	2	2	0	4	5	0	8	8	3	3	2	7	7	1	8	5	6	5	5	5	1	2	1	6	4	1	4	3	15	6	6	6	3	11	2	4	5	5	10	6	5	9	5	4	6	12	6	14	15	7	9	21
am0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	1	0	0	0	1	0	1	1	0	0	0	3	2	2	2	1	2	3	0	3	0	2	1	1	0	0	1	2	3	3	4	2	0	0	0	5	0	0	3	1	4	7	3	2	7	4	4	1	2	0	0	2	3	0	3	3	3	6	5	1	2	1	3	0	2	5	1	13
am0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	3	0	0	1	1	0	1	0	2	2	0	0	0	1	1	0	0	1	0	0	0	0	0	0	4	1	0	0	1	0	1	1	0	0	1	1	1	8
