	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
am0106	0	0	0	0	0	0	0	4	7	4	7	4	1	9	7	5
am0107	0	0	0	0	0	0	0	0	0	0	0	5	2	0	5	8
am0108	0	0	0	0	0	0	4	5	2	6	8	6	4	2	10	3
am0109	0	0	0	0	0	0	2	1	3	1	4	4	6	4	6	3
am0110	0	0	0	0	0	0	7	4	3	6	5	7	11	5	6	5
am0111	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
am0112	0	0	0	0	0	0	3	1	2	1	1	0	3	2	0	3
am0113	0	0	0	0	0	0	1	2	0	2	1	1	1	2	1	1
am0114	0	0	0	0	0	0	1	0	5	0	4	2	1	5	3	2
am0115	0	0	0	0	0	0	1	0	1	0	3	2	1	3	2	7
am0116	0	0	0	0	0	0	2	3	4	3	5	0	3	6	2	5
am0117	0	0	0	0	0	0	1	3	3	3	2	7	1	7	6	8
am0118	0	0	0	0	0	0	2	0	5	0	3	2	2	7	4	9
am0119	0	0	0	0	0	0	1	1	2	1	3	5	3	3	6	3
am0120	0	0	0	0	0	0	2	0	3	1	3	3	3	3	6	6
am0121	0	0	0	0	0	0	1	1	1	3	1	4	2	1	3	1
am0122	0	0	0	0	0	0	0	2	1	2	0	2	0	1	2	1
am0123	0	0	0	0	0	0	0	1	2	3	5	0	0	3	4	5
am0124	0	0	0	0	0	0	2	4	4	4	8	5	2	4	9	7
am0125	0	0	0	0	0	0	1	1	3	1	2	7	5	3	7	2
am0126	0	0	0	0	0	0	0	2	2	3	0	0	0	2	0	3
am0127	0	0	0	0	0	0	0	3	3	3	2	5	0	3	7	3
am0128	0	0	0	0	0	0	3	4	7	5	9	4	6	10	9	15
am0129	0	0	0	0	0	0	2	2	4	2	0	4	2	5	6	3
am0130	0	0	0	0	0	0	2	0	2	0	3	1	2	3	3	7
am0131	0	0	0	0	0	0	2	2	4	2	2	6	3	5	7	6
am0132	0	0	0	0	0	0	5	6	6	6	1	1	5	6	3	9
am0134	0	0	0	0	0	0	4	5	3	5	1	5	5	3	3	10
am0135	0	0	0	0	0	0	2	1	2	4	4	3	2	3	2	8
am0136	0	0	0	0	0	0	5	4	4	4	5	5	11	7	8	8
am0137	0	0	0	0	0	0	0	1	3	1	4	2	0	3	3	3
am0138	0	0	0	0	0	0	0	6	4	6	3	0	4	5	4	7
am0139	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	1
am0140	0	0	0	0	0	0	0	2	3	2	1	1	2	3	2	3
am0141	0	0	0	0	0	0	1	1	1	1	2	1	1	1	1	0
am0142	0	0	0	0	0	0	1	3	5	5	2	2	2	5	6	4
am0143	0	1	0	0	0	0	6	19	16	21	8	9	10	22	12	24
am0146	0	0	0	0	0	0	4	4	7	4	1	4	3	8	4	10
am0147	0	0	0	0	0	0	2	1	3	2	2	2	2	3	1	5
am0148	0	0	0	0	0	0	8	11	10	14	6	7	12	10	12	7
am0149	0	0	0	0	0	0	0	1	1	1	6	0	4	2	1	3
am0150	0	0	0	0	0	0	5	2	9	3	10	6	9	14	9	22
am0151	0	0	0	0	0	0	0	0	0	0	1	2	2	0	3	0
am0152	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
am0153	0	0	0	0	0	0	0	1	1	1	0	0	1	2	0	2
am0155	0	0	0	0	0	0	1	4	1	4	4	5	1	2	7	2
am0156	0	0	0	0	0	0	2	3	3	5	1	7	2	3	5	1
am0157	0	0	0	0	0	0	3	2	3	3	1	4	3	3	4	1
am0158	0	0	0	0	0	0	2	3	2	3	1	6	3	2	3	2
am0159	0	0	0	0	0	0	0	0	1	0	2	2	0	2	2	4
am0160	0	0	0	0	0	0	0	8	4	8	5	4	0	5	5	3
am0161	0	0	0	0	0	0	3	8	13	8	0	4	5	13	4	13
am0162	0	0	0	0	0	0	10	4	9	5	12	16	12	10	20	9
am0163	0	0	0	0	0	0	3	2	2	2	3	0	3	3	2	2
am0164	0	0	0	0	0	0	1	2	3	2	0	0	1	4	0	2
am0165	0	0	0	0	0	0	2	0	0	0	2	2	3	0	4	6
am0166	0	0	0	0	0	0	0	1	2	1	1	0	0	2	0	2
am0167	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0
am0168	0	0	0	0	0	0	0	1	2	3	1	0	0	2	1	2
am0169	0	0	0	0	0	0	3	0	2	0	4	1	5	3	3	6
am0171	0	0	0	0	0	0	7	7	4	8	7	9	9	6	14	12
am0172	0	0	0	0	0	0	9	3	2	8	9	7	8	3	15	11
am0173	0	0	0	0	1	0	0	1	2	1	0	0	0	2	1	2
am0174	0	0	0	0	0	0	4	3	2	4	7	0	6	3	1	3
am0175	0	0	0	0	0	0	5	16	15	19	4	7	5	15	6	1
am0176	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	1
am0177	0	0	0	0	0	0	1	3	3	5	3	0	1	4	1	5
am0178	0	0	0	0	0	0	4	4	3	9	4	4	9	5	7	4
am0179	0	0	0	0	0	0	1	2	1	2	2	3	2	1	5	1
am0180	0	0	0	0	0	0	2	1	2	2	0	1	3	2	3	0
am0181	0	0	0	0	0	0	4	8	10	8	1	5	6	12	8	11
am0182	0	0	0	0	0	0	3	5	7	6	2	2	6	9	4	9
am0183	0	0	0	0	0	0	0	3	2	3	1	3	1	2	4	0
am0184	0	0	0	0	0	0	2	2	1	2	4	3	3	3	4	4
am0185	0	0	0	0	0	0	3	1	0	1	0	1	5	0	3	0
am0186	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1
am0187	0	0	0	0	0	0	2	2	5	2	2	4	2	6	8	6
am0188	0	0	0	0	0	0	1	7	6	7	3	3	1	8	4	8
am0189	0	0	0	0	0	0	2	4	3	6	8	6	3	3	6	1
am0190	0	0	0	0	0	0	0	0	0	0	3	1	1	1	2	3
am0192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0194	0	0	0	0	0	0	2	3	3	3	2	1	1	3	1	1
am0195	0	0	0	0	0	0	0	1	0	1	3	5	0	1	7	2
am0196	0	0	0	0	0	0	1	1	3	1	4	4	3	3	7	5
am0197	0	0	1	0	0	0	1	2	2	3	4	6	3	4	7	3
am0198	0	0	0	0	0	0	11	7	5	8	5	4	11	8	4	14
am0199	0	0	0	0	0	0	1	7	8	7	7	2	9	9	4	7
am0200	0	0	0	0	0	0	6	10	6	11	6	5	8	6	8	9
am0201	0	0	0	0	0	0	10	5	7	7	7	5	11	8	12	8
am0202	0	0	0	0	0	0	1	0	2	1	2	4	1	2	5	2
am0203	0	0	0	0	0	0	3	7	7	8	7	3	3	14	8	10
am0204	0	0	0	0	0	0	6	3	1	5	2	5	6	3	7	3
am0205	1	0	0	0	0	0	11	11	15	14	18	11	15	22	19	23
am0206	0	0	0	0	0	0	3	1	1	2	5	3	3	2	4	2
am0207	0	0	0	0	0	0	6	2	4	5	8	6	8	6	6	5
am0208	0	0	0	0	1	0	3	1	2	1	4	5	5	6	9	9
am0209	0	0	0	0	0	0	2	3	2	3	4	3	3	3	2	3
am0210	0	0	0	0	0	0	0	2	4	2	4	4	0	5	2	2
am0211	0	0	0	0	0	0	7	3	7	4	6	4	8	7	11	7
am0212	0	0	0	0	0	0	7	5	4	7	5	9	9	8	14	14
am0213	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	1
am0214	0	0	0	0	0	0	2	1	1	1	5	6	3	4	9	7
am0215	0	0	0	0	0	0	5	5	3	6	3	3	5	5	3	10
am0216	0	0	0	0	0	0	0	3	3	4	6	6	1	3	8	7
am0217	0	0	0	0	0	0	7	4	4	5	5	6	9	5	9	13
am0218	0	0	0	0	0	0	10	4	7	7	10	8	13	9	11	9
am0219	0	0	0	0	0	0	6	3	3	4	4	9	10	7	14	7
am0220	0	0	0	0	0	0	2	10	11	10	8	9	4	14	12	20
am0221	0	0	0	0	0	0	1	0	0	2	4	3	1	2	3	4
am0222	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
am0223	0	0	0	0	2	0	2	7	6	7	5	3	3	6	4	5
am0224	0	0	0	0	0	0	0	0	1	0	0	3	0	1	2	0
am0225	0	0	0	0	0	0	8	6	2	10	8	6	8	8	13	13
am0226	0	0	0	0	0	0	3	5	5	6	5	2	5	7	5	8
am0227	0	0	0	0	0	0	1	0	0	0	1	1	2	0	3	0
am0228	0	0	0	0	0	0	1	6	5	6	6	2	2	7	6	5
am0229	0	0	0	0	0	0	0	3	2	3	0	1	1	4	3	5
am0230	0	0	0	0	0	0	0	0	3	1	5	0	4	4	5	5
am0231	0	0	0	0	0	0	1	5	9	9	7	5	5	14	12	13
