	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y
0	0.3288435561895173	1.0	-27.3245492371706	73	0	SP44
1	0.5650974040895057	1.0	9.9254507628294	57	1	SP23
2	0.031648401726304384	1.0	53.9254507628294	77	2	SP22
3	0.0055838286230405305	0.0	72.4254507628294	149	3	SP21
4	0.026662511219160093	1.0	36.8754507628294	77	4	SP9
5	0.22306548482406569	1.0	37.075450762829405	69	5	SP45
6	0.0004819259469785973	0.0	71.00878409616274	149	6	SP31
7	0.013275754191436645	0.0	48.50878409616274	77	7	SP33
8	0.06718311306559453	1.0	37.38973647711511	53	8	SP34
9	0.015135089048215596	0.0	56.96116504854368	56	9	SP49
10	0.11325989893612808	1.0	29.24687933425797	69	10	SP14
11	0.00030925335934355876	0.0	79.38973647711512	134	11	SP28
12	0.057915319345858994	1.0	26.6754507628294	56	12	SP41
13	0.013320000662408406	0.0	40.5504507628294	56	13	SP52
14	0.057915319345858994	1.0	25.3004507628294	53	14	SP27
15	0.022815001184348014	1.0	23.6754507628294	56	15	SP47
16	0.03942795192894195	1.0	32.45322854060717	53	16	SP30
17	0.08372642987528173	1.0	25.786561873940514	63	17	SP29
18	0.0012773858059821539	0.0	41.6754507628294	94	18	SP51
19	0.0012773858059821539	0.0	39.00878409616273	94	19	SP50
20	3.7059068037213415e-05	0.0	61.1754507628294	53	20	SP25
21	0.009364161482635492	0.0	48.47545076282941	69	21	SP13
22	0.1846964626232136	1.0	29.1754507628294	63	22	SP43
23	3.6276356049910295e-05	0.0	70.47545076282941	128	23	SP35
24	8.076745863709176e-05	0.0	64.03908712646577	109	24	SP48
25	0.0001374504570002903	0.0	57.1754507628294	75	25	SP26
26	3.5902603555678705e-05	0.0	58.09211742949606	77	26	SP19
27	1.0	1.0	-51.8245492371706	1	27	SP18
28	0.00024880380533095825	0.0	45.21391230129093	75	28	SP46
29	0.9708118860002247	1.0	-33.46740638002775	6	29	SP53
30	0.0002187882150209052	0.0	40.14211742949607	53	30	SP20
31	1.0	1.0	-50.65788257050393	1	31	SP1
32	0.007556186982575991	0.0	25.46492444703992	21	32	SP15
33	0.43387145916711756	1.0	-6.157882570503929	1	33	SP36
34	0.9334597227874194	1.0	-16.3245492371706	1	34	SP10
35	0.4825444570653427	1.0	-10.84179061648095	27	35	SP37
36	0.992208840426566	1.0	-19.991215903837265	1	36	SP4
37	0.8134445133984267	1.0	-17.001968592009305	13	37	SP16
38	0.12787113169853778	1.0	5.644200762829399	11	38	SP39
39	0.06242318574578401	1.0	-3.124549237170598	12	39	SP17
40	0.9105897573954636	1.0	-10.587707131907436	8	40	SP24
41	0.18721363667004126	1.0	-6.3995492371706035	21	41	SP42
42	0.9475376873973074	1.0	-15.524549237170604	1	42	SP3
43	0.6128039756699456	1.0	-10.446500456682799	1	43	SP40
44	0.8415813310754946	1.0	-14.226988261560848	16	44	SP11
45	0.4898535948764058	1.0	0.3033577395735847	16	45	SP38
46	0.9452665130576003	1.0	-13.0745492371706	6	46	SP32
47	0.6831597281562543	1.0	-19.620003782625147	21	47	SP12
48	0.8637700124418124	1.0	-23.3245492371706	12	48	SP8
49	0.7720507956745416	1.0	-10.628897063257554	1	49	SP6
50	0.48693142557775687	1.0	-8.3245492371706	1	50	SP2
51	0.8563678118920456	1.0	-9.3870492371706	1	51	SP7
52	0.9514225367484386	1.0	-21.787512200133563	1	52	SP5
53	0.5542634538193092	1.0	-11.411505758909726	1	53	SP0
54	0.9123515514612035	1.0	-15.266409702286879	6	54	SP54
