	0	1	2	3	4	5	6	7	8
am0167	0	1	0	1	0	3	2	0	3
am0168	0	0	3	4	4	2	3	2	2
am0169	0	2	1	8	2	5	5	4	6
am0171	0	1	6	7	5	3	8	3	5
am0172	0	0	1	1	2	1	0	3	1
am0173	0	4	2	0	1	2	0	3	2
am0174	0	1	1	3	0	3	3	2	3
am0175	0	6	3	1	1	4	1	4	4
am0176	0	1	0	2	0	1	2	0	1
am0177	0	2	1	2	1	4	6	0	6
am0178	0	2	2	0	2	3	3	1	4
am0179	0	5	2	2	1	13	9	6	14
am0180	0	1	1	1	2	1	1	5	1
am0181	0	0	0	0	0	0	0	0	0
am0182	0	0	0	0	0	0	0	0	0
am0183	0	0	1	2	5	2	1	5	2
am0184	0	1	2	4	2	4	4	1	4
am0185	0	1	2	0	3	3	0	4	3
am0186	0	0	2	4	2	2	7	3	3
am0187	0	1	2	0	3	1	1	4	1
am0188	0	1	2	3	1	1	2	2	1
am0189	0	2	2	1	1	4	1	3	4
am0190	0	4	1	3	0	4	3	1	5
am0192	0	0	2	0	2	3	1	4	3
am0194	0	0	0	0	0	2	0	0	2
am0195	0	1	4	3	6	2	2	1	2
am0196	0	1	0	3	2	2	3	2	4
am0197	0	2	2	4	2	2	5	4	3
am0198	0	2	3	5	3	10	7	9	12
am0199	0	1	0	0	2	0	1	2	1
am0200	0	0	0	1	0	0	1	0	0
am0201	0	1	2	1	3	2	0	2	2
am0202	0	3	3	7	2	5	6	4	5
am0203	0	1	2	3	3	3	2	5	3
am0204	0	4	3	8	5	4	5	8	4
am0205	0	1	3	13	5	8	15	7	10
am0206	0	0	0	1	0	1	1	0	1
am0207	0	2	2	1	1	1	1	5	1
am0208	0	1	1	0	0	0	0	1	0
am0209	0	2	2	2	2	2	2	2	2
am0210	0	0	0	0	0	1	1	0	1
am0211	0	2	2	1	2	8	3	5	10
am0212	0	1	1	3	1	3	2	2	3
am0213	0	0	1	0	3	0	0	2	0
am0214	0	1	1	3	2	0	3	3	0
am0215	0	2	3	4	3	5	4	4	5
am0216	0	1	2	1	3	1	1	6	2
am0217	0	4	3	2	4	4	4	6	5
am0218	0	2	2	5	3	2	0	5	2
am0219	0	1	1	3	2	5	3	6	5
am0220	0	0	0	6	2	2	4	2	2
am0221	0	0	1	3	4	6	8	6	7
am0222	0	0	0	1	0	1	1	0	1
am0223	0	5	4	5	1	6	4	5	7
am0224	0	0	0	2	0	1	1	2	1
am0225	0	3	5	5	5	4	7	8	6
am0226	0	0	0	5	0	1	3	0	1
am0227	0	2	0	4	1	5	7	1	6
am0228	0	1	1	0	3	1	0	2	1
am0229	0	0	1	1	2	2	2	1	2
am0230	0	0	0	1	0	2	3	0	2
am0231	0	0	0	3	0	3	6	1	3
